RecommendedRank,RecommendedModel,StockCode,Description,ForecastWeek,ProbabilityOfSale,QuantityIfSold,TwoStageExpected,TwoStageHardGate,XGBoostPoisson,NaiveLag1,MovingAverage4,WeeksSinceLastSale
47,XGBoostPoisson,79321,CHILLI LIGHTS,2011-12-05/2011-12-11,0.9977578,365.7061,364.8861,365.7061,318.89688,314.0,536.0,0.0
48,XGBoostPoisson,17003,BROCADE RING PURSE ,2011-12-05/2011-12-11,0.9977578,311.66058,310.96176,311.66058,315.45917,130.0,257.0,0.0
49,XGBoostPoisson,21137,BLACK RECORD COVER FRAME,2011-12-05/2011-12-11,0.99381953,376.5034,374.17642,376.5034,313.14175,183.0,469.75,0.0
50,XGBoostPoisson,22959,WRAP CHRISTMAS VILLAGE,2011-12-05/2011-12-11,0.9861496,463.17728,456.7621,463.17728,303.84332,651.0,450.25,0.0
51,XGBoostPoisson,22998,TRAVEL CARD WALLET KEEP CALM,2011-12-05/2011-12-11,0.9985975,322.70868,322.25607,322.70868,303.76132,273.0,374.25,0.0
52,XGBoostPoisson,35970,ZINC FOLKART SLEIGH BELLS,2011-12-05/2011-12-11,0.99240506,351.0647,348.39838,351.0647,297.12314,319.0,426.5,0.0
53,XGBoostPoisson,23199,JUMBO BAG APPLES,2011-12-05/2011-12-11,1.0,411.66577,411.66577,411.66577,296.21326,221.0,392.5,0.0
54,XGBoostPoisson,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,2011-12-05/2011-12-11,0.99381953,296.19263,294.36203,296.19263,292.34906,227.0,557.25,0.0
55,XGBoostPoisson,21731,RED TOADSTOOL LED NIGHT LIGHT,2011-12-05/2011-12-11,0.9977578,422.12216,421.1757,422.12216,287.92313,359.0,475.5,0.0
56,XGBoostPoisson,20973,12 PENCIL SMALL TUBE WOODLAND,2011-12-05/2011-12-11,0.9733334,352.9795,343.56674,352.9795,285.4174,299.0,404.25,0.0
57,XGBoostPoisson,22944,CHRISTMAS METAL POSTCARD WITH BELLS,2011-12-05/2011-12-11,0.9861496,294.56512,290.4853,294.56512,283.30646,144.0,298.5,0.0
58,XGBoostPoisson,22993,SET OF 4 PANTRY JELLY MOULDS,2011-12-05/2011-12-11,1.0,451.24503,451.24503,451.24503,278.87897,429.0,379.0,0.0
59,XGBoostPoisson,22633,HAND WARMER UNION JACK,2011-12-05/2011-12-11,0.99583334,531.82886,529.6129,531.82886,274.70554,341.0,285.75,0.0
60,XGBoostPoisson,21232,STRAWBERRY CERAMIC TRINKET BOX,2011-12-05/2011-12-11,0.9977579,392.46866,391.5887,392.46866,273.33997,463.0,401.5,0.0
61,XGBoostPoisson,22470,HEART OF WICKER LARGE,2011-12-05/2011-12-11,0.9985975,294.14062,293.7281,294.14062,272.08017,861.0,322.25,0.0
62,XGBoostPoisson,85099C,JUMBO  BAG BAROQUE BLACK WHITE,2011-12-05/2011-12-11,0.9977578,399.78345,398.88705,399.78345,271.28616,414.0,397.5,0.0
63,XGBoostPoisson,22816,CARD MOTORBIKE SANTA,2011-12-05/2011-12-11,0.9977579,467.59323,466.54486,467.59323,270.63974,184.0,313.5,0.0
64,XGBoostPoisson,22112,CHOCOLATE HOT WATER BOTTLE,2011-12-05/2011-12-11,0.9977578,345.19055,344.41656,345.19055,268.14655,449.0,419.75,0.0
65,XGBoostPoisson,23215,JINGLE BELL HEART ANTIQUE SILVER,2011-12-05/2011-12-11,0.99381953,269.35657,267.69183,269.35657,266.7075,224.0,382.75,0.0
66,XGBoostPoisson,20975,12 PENCILS SMALL TUBE RED RETROSPOT,2011-12-05/2011-12-11,0.98496234,379.92023,374.20712,379.92023,265.46902,183.0,245.75,0.0
67,XGBoostPoisson,21181,PLEASE ONE PERSON METAL SIGN,2011-12-05/2011-12-11,0.9631336,290.46674,279.75827,290.46674,265.324,936.0,297.5,0.0
68,XGBoostPoisson,22961,JAM MAKING SET PRINTED,2011-12-05/2011-12-11,1.0,458.7308,458.7308,458.7308,263.91168,269.0,357.0,0.0
69,XGBoostPoisson,22595,GINGHAM HEART DECORATION,2011-12-05/2011-12-11,0.9985975,287.03217,286.6296,287.03217,263.32715,135.0,202.5,0.0
70,XGBoostPoisson,23309,SET OF 60 I LOVE LONDON CAKE CASES ,2011-12-05/2011-12-11,0.9985975,376.54843,376.02032,376.54843,262.7235,559.0,321.25,0.0
71,XGBoostPoisson,23209,LUNCH BAG VINTAGE DOILY ,2011-12-05/2011-12-11,1.0,419.52148,419.52148,419.52148,262.3308,329.0,365.0,0.0
72,XGBoostPoisson,23293,SET OF 12 FAIRY CAKE BAKING CASES,2011-12-05/2011-12-11,0.9985975,330.1868,329.72372,330.1868,256.96384,283.0,389.0,0.0
73,XGBoostPoisson,21977,PACK OF 60 PINK PAISLEY CAKE CASES,2011-12-05/2011-12-11,0.9985975,356.672,356.17175,356.672,252.02893,239.0,337.0,0.0
74,XGBoostPoisson,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2011-12-05/2011-12-11,0.9985975,393.75732,393.20508,393.75732,251.57794,340.0,400.5,0.0
75,XGBoostPoisson,84991,60 TEATIME FAIRY CAKE CASES,2011-12-05/2011-12-11,0.99775785,336.65543,335.9006,336.65543,248.92552,136.0,309.0,0.0
76,XGBoostPoisson,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,2011-12-05/2011-12-11,0.9977579,296.64914,295.98404,296.64914,246.74928,313.0,281.5,0.0
77,XGBoostPoisson,22597,MUSICAL ZINC HEART DECORATION ,2011-12-05/2011-12-11,0.99583334,268.70822,267.5886,268.70822,244.80666,238.0,275.5,0.0
78,XGBoostPoisson,21791,VINTAGE HEADS AND TAILS CARD GAME ,2011-12-05/2011-12-11,0.99775785,312.6856,311.98453,312.6856,244.52724,197.0,380.5,0.0
79,XGBoostPoisson,16169E,WRAP 50'S  CHRISTMAS,2011-12-05/2011-12-11,1.0,302.7479,302.7479,302.7479,242.98056,251.0,325.25,0.0
80,XGBoostPoisson,23202,JUMBO BAG VINTAGE LEAF,2011-12-05/2011-12-11,1.0,386.85867,386.85867,386.85867,242.90317,341.0,374.75,0.0
81,XGBoostPoisson,21166,COOK WITH WINE METAL SIGN ,2011-12-05/2011-12-11,0.97053045,286.21698,277.7823,286.21698,242.89658,1115.0,347.25,0.0
82,XGBoostPoisson,22144,CHRISTMAS CRAFT LITTLE FRIENDS,2011-12-05/2011-12-11,0.9938195,325.47632,323.4647,325.47632,242.7104,239.0,309.75,0.0
83,XGBoostPoisson,22818,CARD CHRISTMAS VILLAGE,2011-12-05/2011-12-11,0.99775785,435.75174,434.77472,435.75174,240.76237,378.0,339.0,0.0
84,XGBoostPoisson,21931,JUMBO STORAGE BAG SUKI,2011-12-05/2011-12-11,0.9977578,366.76025,365.9379,366.76025,238.79057,258.0,291.5,0.0
85,XGBoostPoisson,20719,WOODLAND CHARLOTTE BAG,2011-12-05/2011-12-11,0.9985975,330.24744,329.78427,330.24744,237.72865,327.0,270.0,0.0
86,XGBoostPoisson,22423,REGENCY CAKESTAND 3 TIER,2011-12-05/2011-12-11,0.99775785,340.18854,339.42578,340.18854,235.83263,236.0,224.75,0.0
87,XGBoostPoisson,21914,BLUE HARMONICA IN BOX ,2011-12-05/2011-12-11,0.9977578,359.9093,359.10233,359.9093,234.73563,358.0,418.0,0.0
88,XGBoostPoisson,22629,SPACEBOY LUNCH BOX ,2011-12-05/2011-12-11,1.0,354.3109,354.3109,354.3109,231.42555,160.0,329.75,0.0
89,XGBoostPoisson,22966,GINGERBREAD MAN COOKIE CUTTER,2011-12-05/2011-12-11,0.99775785,379.13467,378.2846,379.13467,231.01485,207.0,220.75,0.0
90,XGBoostPoisson,21733,RED HANGING HEART T-LIGHT HOLDER,2011-12-05/2011-12-11,0.9977578,342.244,341.4766,342.244,230.03084,289.0,240.0,0.0
91,XGBoostPoisson,82583,HOT BATHS METAL SIGN,2011-12-05/2011-12-11,0.9985975,318.77994,318.33286,318.77994,229.84203,318.0,246.5,0.0
92,XGBoostPoisson,23353,6 GIFT TAGS VINTAGE CHRISTMAS ,2011-12-05/2011-12-11,0.9985975,292.16418,291.75443,292.16418,228.83769,233.0,294.0,0.0
93,XGBoostPoisson,21819,GLITTER CHRISTMAS STAR ,2011-12-05/2011-12-11,0.9736842,262.04694,255.15096,262.04694,228.7142,206.0,324.25,0.0
94,XGBoostPoisson,21889,WOODEN BOX OF DOMINOES,2011-12-05/2011-12-11,0.99775785,373.78238,372.9443,373.78238,227.99413,251.0,374.75,0.0
95,XGBoostPoisson,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,2011-12-05/2011-12-11,0.91295123,62.040886,56.640305,62.040886,227.81851,17.0,494.5,0.0
96,XGBoostPoisson,23206,LUNCH BAG APPLE DESIGN,2011-12-05/2011-12-11,1.0,331.97153,331.97153,331.97153,224.72597,190.0,291.25,0.0
97,XGBoostPoisson,22632,HAND WARMER RED RETROSPOT,2011-12-05/2011-12-11,0.9958334,391.86987,390.23712,391.86987,223.37897,131.0,262.0,0.0
98,XGBoostPoisson,21175,GIN + TONIC DIET METAL SIGN,2011-12-05/2011-12-11,0.99775785,359.68756,358.8811,359.68756,223.26257,390.0,333.75,0.0
99,XGBoostPoisson,82600,NO SINGING METAL SIGN,2011-12-05/2011-12-11,0.83053434,258.00806,214.28455,258.00806,221.97812,1022.0,257.75,0.0
100,XGBoostPoisson,23300,GARDENERS KNEELING PAD CUP OF TEA ,2011-12-05/2011-12-11,1.0,336.2123,336.2123,336.2123,221.33582,291.0,363.5,0.0
101,XGBoostPoisson,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,2011-12-05/2011-12-11,1.0,321.73062,321.73062,321.73062,221.05684,148.0,202.25,0.0
102,XGBoostPoisson,16045,POPART WOODEN PENCILS ASST,2011-12-05/2011-12-11,0.99240506,282.40973,280.26483,282.40973,220.75473,300.0,250.0,0.0
103,XGBoostPoisson,23318,BOX OF 6 MINI VINTAGE CRACKERS,2011-12-05/2011-12-11,0.9985975,266.90314,266.5288,266.90314,219.9976,202.0,268.75,0.0
104,XGBoostPoisson,22791,T-LIGHT GLASS FLUTED ANTIQUE,2011-12-05/2011-12-11,1.0,355.81738,355.81738,355.81738,219.22833,387.0,314.75,0.0
105,XGBoostPoisson,20727,LUNCH BAG  BLACK SKULL.,2011-12-05/2011-12-11,0.9985975,328.96094,328.49957,328.96094,219.21632,281.0,319.75,0.0
106,XGBoostPoisson,84029E,RED WOOLLY HOTTIE WHITE HEART.,2011-12-05/2011-12-11,0.99381953,256.72522,255.13853,256.72522,219.08444,327.0,324.75,0.0
107,XGBoostPoisson,21498,RED RETROSPOT WRAP ,2011-12-05/2011-12-11,0.9985975,285.39667,284.9964,285.39667,216.49776,275.0,256.25,0.0
108,XGBoostPoisson,23076,ICE CREAM SUNDAE LIP GLOSS,2011-12-05/2011-12-11,0.9985975,303.38892,302.9634,303.38892,216.32697,271.0,274.0,0.0
109,XGBoostPoisson,22382,LUNCH BAG SPACEBOY DESIGN ,2011-12-05/2011-12-11,0.9958333,244.3054,243.28745,244.3054,212.59235,125.0,339.0,0.0
110,XGBoostPoisson,22560,TRADITIONAL MODELLING CLAY,2011-12-05/2011-12-11,0.99775785,327.01022,326.277,327.01022,211.73212,406.0,230.75,0.0
111,XGBoostPoisson,22356,CHARLOTTE BAG PINK POLKADOT,2011-12-05/2011-12-11,0.9985975,306.09885,305.66956,306.09885,209.71608,209.0,322.5,0.0
112,XGBoostPoisson,22489,PACK OF 12 TRADITIONAL CRAYONS,2011-12-05/2011-12-11,0.99583334,299.4334,298.18576,299.4334,209.23982,251.0,271.0,0.0
113,XGBoostPoisson,21213,PACK OF 72 SKULL CAKE CASES,2011-12-05/2011-12-11,0.9977578,263.58936,262.99832,263.58936,209.07895,210.0,138.5,0.0
114,XGBoostPoisson,23103,JINGLE BELL HEART DECORATION,2011-12-05/2011-12-11,1.0,278.4791,278.4791,278.4791,207.96106,235.0,239.25,0.0
115,XGBoostPoisson,21326,AGED GLASS SILVER T-LIGHT HOLDER,2011-12-05/2011-12-11,0.9985975,285.85507,285.45416,285.85507,204.89534,332.0,269.75,0.0
116,XGBoostPoisson,22726,ALARM CLOCK BAKELIKE GREEN,2011-12-05/2011-12-11,0.9985975,397.23816,396.68103,397.23816,204.66109,294.0,239.5,0.0
117,XGBoostPoisson,23354,6 GIFT TAGS 50'S CHRISTMAS ,2011-12-05/2011-12-11,1.0,293.94537,293.94537,293.94537,203.80011,233.0,297.25,0.0
118,XGBoostPoisson,22621,TRADITIONAL KNITTING NANCY,2011-12-05/2011-12-11,0.99859744,272.6504,272.26797,272.6504,202.66269,196.0,318.0,0.0
119,XGBoostPoisson,22077,6 RIBBONS RUSTIC CHARM,2011-12-05/2011-12-11,0.99775785,303.48254,302.8021,303.48254,202.1397,182.0,208.25,0.0
120,XGBoostPoisson,23319,BOX OF 6 MINI 50'S CRACKERS,2011-12-05/2011-12-11,0.9985975,275.81418,275.42734,275.81418,200.63072,218.0,310.0,0.0
121,XGBoostPoisson,84568,GIRLS ALPHABET IRON ON PATCHES ,2011-12-05/2011-12-11,0.9849624,279.16107,274.96317,279.16107,200.03177,354.0,269.5,0.0
122,XGBoostPoisson,22610,PENS ASSORTED FUNNY FACE,2011-12-05/2011-12-11,0.9849624,157.89386,155.51952,157.89386,198.47284,72.0,297.5,0.0
123,XGBoostPoisson,22467,GUMBALL COAT RACK,2011-12-05/2011-12-11,0.9985975,300.80103,300.37915,300.80103,197.52324,252.0,203.0,0.0
124,XGBoostPoisson,22727,ALARM CLOCK BAKELIKE RED ,2011-12-05/2011-12-11,0.9985975,294.6965,294.2832,294.6965,197.2645,266.0,223.75,0.0
125,XGBoostPoisson,23351,ROLL WRAP 50'S CHRISTMAS,2011-12-05/2011-12-11,0.9985975,275.2937,274.9076,275.2937,197.25668,195.0,297.75,0.0
126,XGBoostPoisson,85099F,JUMBO BAG STRAWBERRY,2011-12-05/2011-12-11,0.99775785,235.4124,234.88457,235.4124,197.00298,436.0,246.25,0.0
127,XGBoostPoisson,23321,SMALL WHITE HEART OF WICKER,2011-12-05/2011-12-11,0.9985975,323.4085,322.95493,323.4085,196.33592,203.0,287.5,0.0
128,XGBoostPoisson,84378,SET OF 3 HEART COOKIE CUTTERS,2011-12-05/2011-12-11,0.9958333,204.78598,203.9327,204.78598,195.55351,912.0,347.75,0.0
129,XGBoostPoisson,22551,PLASTERS IN TIN SPACEBOY,2011-12-05/2011-12-11,0.99775785,271.8672,271.25763,271.8672,194.10185,164.0,276.0,0.0
130,XGBoostPoisson,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,2011-12-05/2011-12-11,0.9977578,238.63571,238.10065,238.63571,193.85915,377.0,308.0,0.0
131,XGBoostPoisson,22111,SCOTTIE DOG HOT WATER BOTTLE,2011-12-05/2011-12-11,0.99583334,256.26917,255.20139,256.26917,193.17906,246.0,242.5,0.0
132,XGBoostPoisson,22158,3 HEARTS HANGING DECORATION RUSTIC,2011-12-05/2011-12-11,0.99381953,233.56067,232.11716,233.56067,191.82275,116.0,301.25,0.0
133,XGBoostPoisson,22154,ANGEL DECORATION 3 BUTTONS ,2011-12-05/2011-12-11,0.9849624,180.6023,177.88647,180.6023,191.60326,89.0,256.5,0.0
134,XGBoostPoisson,23284,DOORMAT KEEP CALM AND COME IN,2011-12-05/2011-12-11,0.9938196,256.74045,255.15369,256.74045,190.72763,139.0,159.25,0.0
135,XGBoostPoisson,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,2011-12-05/2011-12-11,0.9938196,211.64134,210.33331,211.64134,189.51474,149.0,292.25,0.0
136,XGBoostPoisson,23378,PACK OF 12 50'S CHRISTMAS TISSUES,2011-12-05/2011-12-11,0.99775785,141.596,141.27852,141.596,188.33371,81.0,337.25,0.0
137,XGBoostPoisson,21891,TRADITIONAL WOODEN SKIPPING ROPE,2011-12-05/2011-12-11,0.99381953,189.04732,187.87892,189.04732,186.67848,512.0,260.0,0.0
138,XGBoostPoisson,22574,HEART WOODEN CHRISTMAS DECORATION,2011-12-05/2011-12-11,0.9958334,205.24542,204.39024,205.24542,186.40727,404.0,255.25,0.0
139,XGBoostPoisson,21479,WHITE SKULL HOT WATER BOTTLE ,2011-12-05/2011-12-11,0.9958333,183.93593,183.16953,183.93593,185.59352,178.0,235.0,0.0
140,XGBoostPoisson,20723,STRAWBERRY CHARLOTTE BAG,2011-12-05/2011-12-11,0.9985975,278.03915,277.6492,278.03915,184.2889,270.0,231.25,0.0
141,XGBoostPoisson,22457,NATURAL SLATE HEART CHALKBOARD ,2011-12-05/2011-12-11,0.9977579,274.16693,273.55222,274.16693,183.00835,234.0,210.0,0.0
142,XGBoostPoisson,84992,72 SWEETHEART FAIRY CAKE CASES,2011-12-05/2011-12-11,0.9985975,204.9402,204.65277,204.9402,182.75676,209.0,230.0,0.0
143,XGBoostPoisson,23349,ROLL WRAP VINTAGE CHRISTMAS,2011-12-05/2011-12-11,0.9985975,271.91663,271.53528,271.91663,182.43279,194.0,259.0,0.0
144,XGBoostPoisson,22659,LUNCH BOX I LOVE LONDON,2011-12-05/2011-12-11,0.99775785,234.4419,233.91624,234.4419,181.76028,272.0,162.5,0.0
145,XGBoostPoisson,20728,LUNCH BAG CARS BLUE,2011-12-05/2011-12-11,0.9977579,220.17476,219.6811,220.17476,181.46368,146.0,221.0,0.0
146,XGBoostPoisson,22554,PLASTERS IN TIN WOODLAND ANIMALS,2011-12-05/2011-12-11,0.99775785,250.07812,249.51741,250.07812,181.22934,124.0,259.75,0.0
147,XGBoostPoisson,22666,RECIPE BOX PANTRY YELLOW DESIGN,2011-12-05/2011-12-11,0.9985975,234.25546,233.92693,234.25546,181.08188,166.0,195.25,0.0
148,XGBoostPoisson,82494L,WOODEN FRAME ANTIQUE WHITE ,2011-12-05/2011-12-11,0.9977578,255.41458,254.84189,255.41458,180.92714,268.0,232.5,0.0
149,XGBoostPoisson,23275,SET OF 3 HANGING OWLS OLLIE BEAK,2011-12-05/2011-12-11,0.99859756,270.63535,270.2558,270.63535,179.68666,155.0,308.25,0.0
150,XGBoostPoisson,21703,BAG 125g SWIRLY MARBLES,2011-12-05/2011-12-11,0.9849624,141.90611,139.77219,141.90611,179.64331,97.0,203.75,0.0
151,XGBoostPoisson,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,2011-12-05/2011-12-11,0.9977578,268.94894,268.34592,268.94894,179.50288,118.0,217.75,0.0
152,XGBoostPoisson,23204,CHARLOTTE BAG APPLES DESIGN,2011-12-05/2011-12-11,1.0,279.36633,279.36633,279.36633,178.85628,191.0,245.75,0.0
153,XGBoostPoisson,23313,VINTAGE CHRISTMAS BUNTING,2011-12-05/2011-12-11,0.9985975,193.44196,193.17065,193.44196,178.49435,266.0,294.75,0.0
154,XGBoostPoisson,21497,FANCY FONTS BIRTHDAY WRAP,2011-12-05/2011-12-11,0.9886148,197.5164,195.26764,197.5164,178.35364,175.0,162.5,0.0
155,XGBoostPoisson,22835,HOT WATER BOTTLE I AM SO POORLY,2011-12-05/2011-12-11,0.9985975,249.17775,248.82828,249.17775,176.54619,253.0,251.75,0.0
156,XGBoostPoisson,23263,SET OF 3 WOODEN HEART DECORATIONS,2011-12-05/2011-12-11,0.9985975,274.04965,273.66528,274.04965,176.24641,164.0,256.0,0.0
