Week,quantity,revenue,invoices,active_products,quantity_change_pct,quantity_4_week_mean
2011-04-25/2011-05-01,51563,86364.58,213,1502,-36.23727849431783,71912.5
2011-05-02/2011-05-08,77819,146706.54,365,1697,50.920233500766045,74413.75
2011-05-09/2011-05-15,109918,211708.33,437,1787,41.248281268070784,80041.75
2011-05-16/2011-05-22,107918,215384.19,454,1767,-1.8195382012045291,86804.5
2011-05-23/2011-05-29,83808,165886.83,353,1623,-22.341036713059914,94865.75
2011-05-30/2011-06-05,58351,118357.15,259,1634,-30.375381825124094,89998.75
2011-06-06/2011-06-12,97841,219836.76,408,1884,67.6766465013453,86979.5
2011-06-13/2011-06-19,103368,189877.88,370,1808,5.648961069490288,85842.0
2011-06-20/2011-06-26,75011,135745.71,338,1855,-27.43305471712716,83642.75
2011-06-27/2011-07-03,76396,138987.06,286,1787,1.846395861940242,88154.0
2011-07-04/2011-07-10,93007,177154.31,360,2058,21.74328498874287,86945.5
2011-07-11/2011-07-17,81180,136911.47,328,1987,-12.716247164191941,81398.5
2011-07-18/2011-07-24,109780,202130.17,367,2013,35.23035230352303,90090.75
2011-07-25/2011-07-31,104994,182275.231,346,1862,-4.3596283476042945,97240.25
2011-08-01/2011-08-07,102954,170460.17,315,1834,-1.9429681696096934,99727.0
2011-08-08/2011-08-14,98386,190121.41,276,1810,-4.436932999203524,104028.5
2011-08-15/2011-08-21,99779,175570.68,319,1719,1.4158518488402771,101528.25
2011-08-22/2011-08-28,97216,164484.13,363,1769,-2.568676775674239,99583.75
2011-08-29/2011-09-04,79888,153830.63,288,2016,-17.824226464779457,93817.25
2011-09-05/2011-09-11,109870,191912.07,397,1999,37.530042058882444,96688.25
2011-09-12/2011-09-18,120798,229688.16,363,1939,9.946300172931654,101943.0
2011-09-19/2011-09-25,169683,338294.081,467,2156,40.468385238166206,120059.75
2011-09-26/2011-10-02,120351,211446.801,445,2108,-29.07303619101501,130175.5
2011-10-03/2011-10-09,171014,319084.77,494,2143,42.09603576206262,145461.5
2011-10-10/2011-10-16,117701,228037.07,456,2154,-31.174640672693464,144687.25
2011-10-17/2011-10-23,152369,275970.35,453,2215,29.45429520564822,140358.75
2011-10-24/2011-10-30,150059,259312.53,530,2195,-1.5160564156751044,147785.75
2011-10-31/2011-11-06,159135,300643.08,533,2336,6.048287673515085,144816.0
2011-11-07/2011-11-13,183536,368996.32,641,2339,15.333521852515153,161274.75
2011-11-14/2011-11-20,185133,387064.65,690,2418,0.8701290210094914,169465.75
2011-11-21/2011-11-27,156628,315114.06,619,2392,-15.397038885557945,171108.0
2011-11-28/2011-12-04,156489,323398.7,665,2301,-0.08874530735245578,170446.5
