StockCode,quantity,revenue,rows
DCGS0003,13,32.589999999999996,13
84993b,20,16.99,13
DCGS0076,16,259.48,13
gift_0001_10,14,117.88,13
84596f,18,44.43,13
82613c,13,32.48,12
84968e,15,379.16999999999996,12
84536a,25,19.970000000000002,12
82613b,14,35.04,11
84520b,110,257.4,10
35809a,10,41.54,10
85099c,17,85.17,10
85132b,10,95.83999999999999,10
47590b,13,140.5,10
TEST001,50,225.0,9
85124a,10,50.599999999999994,9
85132a,9,113.42999999999999,9
84985a,10,29.8,8
47570b,8,169.4,8
47518f,8,33.45,8
84596b,10,25.099999999999998,8
84030c,24,185.76,8
84510e,14,35.089999999999996,6
72807a,9,74.78999999999999,6
gift_0001_50,6,253.59,6
85231g,6,9.78,6
85184c,6,35.35,6
85035b,6,50.82000000000001,6
84660b,7,53.18,6
84989b,10,12.8,6
84660a,7,52.699999999999996,5
gift_0001_40,5,166.09,5
84986b,6,17.88,5
D,196,397.89,5
15060b,5,41.81,5
m,5,15.049999999999999,5
DCGS0069,5,80.31,5
85231b,4,6.58,4
84968d,4,100.37,4
84951b,5,25.409999999999997,4
85132c,4,46.099999999999994,4
47556b,4,23.64,4
84968a,6,150.82,4
72801e,7,17.57,4
79302m,4,23.77,4
84509b,5,37.3,4
84536b,8,6.48,4
84534b,5,8.3,4
18096c,6,30.799999999999997,4
72802a,9,74.97,4
DCGS0072,4,20.68,3
85049b,4,9.94,3
85034a,3,24.869999999999997,3
85040b,7,23.519999999999996,3
S,3,136.85,3
ADJUST2,3,731.0500000000001,3
85160a,8,129.04,3
AMAZONFEE,3,20467.8,3
DCGS0004,3,50.59,3
85035a,3,25.410000000000004,3
37494a,4,24.16,3
47591b,7,29.47,3
82613a,3,7.4799999999999995,3
47591c,4,16.84,3
47567b,3,38.72,3
72801g,10,25.099999999999998,3
84971s,6,9.959999999999999,3
84509g,2,14.92,2
84596j,2,5.02,2
84968f,2,50.98,2
84968b,2,50.98,2
84661a,2,10.02,2
84661c,2,10.12,2
84596g,5,12.399999999999999,2
84406b,2,13.82,2
DCGS0066N,2,17.3,2
85179a,2,11.780000000000001,2
85124b,2,10.23,2
85124c,3,15.18,2
DCGS0070,2,25.44,2
85036b,2,16.94,2
85035c,2,16.94,2
SP1002,5,14.75,2
85232a,2,20.34,2
85049d,2,4.92,2
84031b,1,16.63,1
84510b,1,2.15,1
84030b,1,8.46,1
84031a,1,16.63,1
84509e,2,15.24,1
84029c,1,7.78,1
46776b,1,4.13,1
35004p,1,12.72,1
37482b,1,17.35,1
37482p,1,17.35,1
46776f,7,28.91,1
46776a,5,20.65,1
46776e,1,4.13,1
47590a,1,11.02,1
51014c,1,0.83,1
47593a,1,2.51,1
47593b,6,4.9799999999999995,1
47594a,1,4.21,1
72803b,1,8.47,1
72802c,1,8.29,1
79051a,1,6.04,1
79342b,1,13.57,1
84559d,2,3.38,1
85049c,1,2.46,1
85036a,2,16.58,1
85034b,1,8.29,1
84985b,1,2.98,1
85039b,4,13.44,1
84912a,2,15.56,1
84971l,2,4.92,1
84867a,1,13.57,1
84796b,1,8.47,1
84705b,1,3.43,1
84661b,1,4.96,1
84596l,1,2.46,1
84867b,2,27.14,1
85123b,1,6.04,1
85160b,1,16.13,1
B,1,11062.06,1
90184c,1,9.15,1
85232d,1,10.17,1
90183c,1,2.9,1
85231e,1,1.66,1
85184d,1,5.91,1
85159b,1,13.0,1
DCGS0037,1,12.72,1
DCGS0075,1,12.72,1
DCGS0068,1,8.47,1
DCGS0044,1,2.57,1
DCGS0062,1,2.51,1
DCGS0041,1,5.06,1
TEST002,1,1.0,1
gift_0001_70,1,59.57,1
gift_0001_80,1,69.56,1
