StockCode,Week,quantity,revenue,invoices,average_price,countries
10120,2009-12-07/2009-12-13,8,2.56,4,0.375,1
10120,2009-12-14/2009-12-20,6,2.14,4,0.375,1
10120,2009-12-21/2009-12-27,1,0.43,1,0.43,1
10120,2010-01-04/2010-01-10,31,6.51,2,0.21,1
10120,2010-01-11/2010-01-17,1,0.43,1,0.43,1
10120,2010-02-08/2010-02-14,4,1.72,1,0.43,1
10120,2010-02-15/2010-02-21,1,0.43,1,0.43,1
10120,2010-03-01/2010-03-07,62,13.02,3,0.21,2
10120,2010-03-08/2010-03-14,6,1.26,1,0.21,1
10120,2010-03-29/2010-04-04,30,6.3,1,0.21,1
10120,2010-04-26/2010-05-02,30,6.3,1,0.21,1
10120,2010-05-17/2010-05-23,4,0.84,1,0.21,1
10120,2010-06-07/2010-06-13,30,6.3,1,0.21,1
10120,2010-07-05/2010-07-11,3,0.63,1,0.21,1
10120,2010-09-13/2010-09-19,9,1.8900000000000001,2,0.21,1
10120,2010-10-04/2010-10-10,30,6.3,1,0.21,1
10120,2010-10-11/2010-10-17,30,6.3,1,0.21,1
10120,2010-10-25/2010-10-31,11,2.31,2,0.21,1
10120,2010-11-01/2010-11-07,18,3.7800000000000002,3,0.21,1
10120,2010-11-15/2010-11-21,2,0.42,1,0.21,1
10120,2010-11-22/2010-11-28,45,9.450000000000001,7,0.21,2
10120,2010-11-29/2010-12-05,13,2.73,3,0.21,1
10120,2010-12-06/2010-12-12,13,2.73,2,0.21,1
10120,2011-02-14/2011-02-20,30,6.3,1,0.21,1
10120,2011-02-28/2011-03-06,11,2.31,1,0.21,1
10120,2011-03-07/2011-03-13,16,3.36,2,0.21,1
10120,2011-03-28/2011-04-03,1,0.21,1,0.21,1
10120,2011-05-09/2011-05-15,1,0.21,1,0.21,1
10120,2011-05-16/2011-05-22,2,0.42,1,0.21,1
10120,2011-07-04/2011-07-10,5,1.05,1,0.21,1
10120,2011-08-01/2011-08-07,5,1.05,1,0.21,1
10120,2011-08-22/2011-08-28,30,6.3,1,0.21,1
10120,2011-08-29/2011-09-04,3,0.63,1,0.21,1
10120,2011-09-19/2011-09-25,1,0.21,1,0.21,1
10120,2011-09-26/2011-10-02,6,1.26,2,0.21,1
10120,2011-10-03/2011-10-09,5,1.05,1,0.21,1
10120,2011-10-17/2011-10-23,5,1.05,1,0.21,1
10120,2011-10-31/2011-11-06,38,7.98,5,0.21000000000000002,2
10120,2011-11-14/2011-11-20,6,1.26,1,0.21,1
10120,2011-11-21/2011-11-27,1,0.21,1,0.21,1
10120,2011-11-28/2011-12-04,10,2.1,2,0.21,1
10123C,2009-12-07/2009-12-13,15,11.05,5,0.9099999999999999,1
10123C,2009-12-14/2009-12-20,123,69.08,6,0.7383333333333333,2
10123C,2010-01-11/2010-01-17,3,3.21,2,0.9650000000000001,1
10123C,2010-01-18/2010-01-24,13,9.08,2,0.9650000000000001,1
10123C,2010-01-25/2010-01-31,14,10.360000000000001,2,0.9650000000000001,1
10123C,2010-02-08/2010-02-14,1,0.65,1,0.65,1
10123C,2010-02-15/2010-02-21,12,7.800000000000001,1,0.65,1
10123C,2010-03-08/2010-03-14,1,1.28,1,1.28,1
10123C,2010-03-15/2010-03-21,12,9.06,2,0.9650000000000001,1
10123C,2010-03-22/2010-03-28,5,3.88,2,0.9650000000000001,1
10123C,2010-04-05/2010-04-11,1,1.28,1,1.28,1
10123C,2010-04-19/2010-04-25,2,1.3,1,0.65,1
10123C,2010-04-26/2010-05-02,13,9.08,2,0.9650000000000001,1
10123C,2010-05-03/2010-05-09,1,1.28,1,1.28,1
10123C,2010-05-10/2010-05-16,12,7.800000000000001,1,0.65,1
10123C,2010-05-17/2010-05-23,1,0.65,1,0.65,1
10123C,2010-05-24/2010-05-30,37,24.680000000000003,3,0.86,2
10123C,2010-05-31/2010-06-06,1,1.28,1,1.28,1
10123C,2010-06-21/2010-06-27,1,0.65,1,0.65,1
10123C,2010-07-05/2010-07-11,1,0.65,1,0.65,1
10123C,2010-07-12/2010-07-18,2,1.3,2,0.65,1
10123C,2010-08-09/2010-08-15,147,11.22,3,0.6633333333333334,2
10123C,2010-08-23/2010-08-29,17,11.05,2,0.65,1
10123C,2010-08-30/2010-09-05,12,7.800000000000001,1,0.65,1
10123C,2010-09-13/2010-09-19,24,15.600000000000001,2,0.65,2
10123C,2010-09-27/2010-10-03,145,9.290000000000001,2,0.355,1
10123C,2010-10-11/2010-10-17,1,0.65,1,0.65,1
10123C,2010-10-18/2010-10-24,1,0.65,1,0.65,1
10123C,2010-10-25/2010-10-31,1,0.65,1,0.65,1
10123C,2010-11-01/2010-11-07,16,10.400000000000002,3,0.65,1
10123C,2010-11-15/2010-11-21,6,3.9000000000000004,3,0.65,1
10123C,2010-11-29/2010-12-05,1,0.65,1,0.65,1
10123C,2011-02-28/2011-03-06,3,1.9500000000000002,1,0.65,1
10123C,2011-03-28/2011-04-03,1,0.65,1,0.65,1
10123G,2010-07-12/2010-07-18,6,3.9000000000000004,2,0.65,1
10123G,2010-07-26/2010-08-01,12,7.800000000000001,1,0.65,1
10123G,2010-08-09/2010-08-15,1104,66.24,1,0.06,1
10123G,2010-09-27/2010-10-03,1105,66.89,2,0.355,1
10123G,2010-10-25/2010-10-31,1,0.65,1,0.65,1
10123G,2010-11-01/2010-11-07,9,6.86,4,0.9025,1
10123G,2010-11-08/2010-11-14,1,1.66,1,1.66,1
10123G,2010-11-15/2010-11-21,1,0.65,1,0.65,1
10123G,2010-11-22/2010-11-28,1,1.66,1,1.66,1
10123G,2010-11-29/2010-12-05,9,5.8500000000000005,1,0.65,1
10124A,2010-03-15/2010-03-21,3,1.26,1,0.42,1
10124A,2010-04-05/2010-04-11,1,0.42,1,0.42,1
10124A,2010-05-31/2010-06-06,3,1.26,1,0.42,1
10124A,2010-06-28/2010-07-04,2,0.84,1,0.42,1
10124A,2010-08-09/2010-08-15,5,2.1,1,0.42,1
10124A,2010-09-06/2010-09-12,9,3.7800000000000002,2,0.42,1
10124A,2010-09-13/2010-09-19,9,3.78,1,0.42,1
10124A,2010-09-20/2010-09-26,3,1.26,1,0.42,1
10124A,2010-09-27/2010-10-03,1,0.42,1,0.42,1
10124A,2010-10-18/2010-10-24,3,1.26,1,0.42,1
10124A,2010-11-15/2010-11-21,3,1.26,2,0.42,1
10124A,2010-12-06/2010-12-12,4,1.68,1,0.42,1
10124A,2011-02-07/2011-02-13,3,1.26,1,0.42,1
10124A,2011-03-14/2011-03-20,4,1.68,1,0.42,1
10124A,2011-03-21/2011-03-27,1,0.42,1,0.42,1
10124A,2011-10-31/2011-11-06,4,1.68,1,0.42,1
10124G,2010-05-10/2010-05-16,1,0.84,1,0.84,1
10124G,2010-05-17/2010-05-23,1,0.42,1,0.42,1
10124G,2010-05-31/2010-06-06,3,1.26,1,0.42,1
10124G,2010-08-09/2010-08-15,5,2.1,1,0.42,1
10124G,2010-09-06/2010-09-12,4,1.68,1,0.42,1
10124G,2010-09-27/2010-10-03,2,0.84,1,0.42,1
10124G,2010-11-29/2010-12-05,5,2.1,1,0.42,1
10124G,2011-03-14/2011-03-20,4,1.68,1,0.42,1
10124G,2011-09-26/2011-10-02,4,1.68,1,0.42,1
10124G,2011-10-31/2011-11-06,4,1.68,1,0.42,1
10125,2009-12-07/2009-12-13,44,37.4,4,0.85,1
10125,2009-12-14/2009-12-20,24,22.950000000000003,3,1.1333333333333333,1
10125,2010-01-11/2010-01-17,2,3.32,1,1.66,1
10125,2010-01-18/2010-01-24,1,1.66,1,1.66,1
10125,2010-02-01/2010-02-07,2,1.7,1,0.85,1
10125,2010-02-08/2010-02-14,2,3.32,2,1.66,1
10125,2010-02-15/2010-02-21,41,35.66,3,1.1199999999999999,1
10125,2010-03-01/2010-03-07,40,34.0,2,0.85,1
10125,2010-03-08/2010-03-14,20,17.0,1,0.85,1
10125,2010-03-15/2010-03-21,2,3.32,1,1.66,1
10125,2010-03-22/2010-03-28,6,5.1,1,0.85,1
10125,2010-03-29/2010-04-04,42,53.519999999999996,2,1.255,1
10125,2010-04-05/2010-04-11,20,17.0,1,0.85,1
10125,2010-05-10/2010-05-16,20,17.0,1,0.85,1
10125,2010-06-07/2010-06-13,21,17.85,2,0.85,1
10125,2010-06-14/2010-06-20,22,19.51,3,1.1199999999999999,1
10125,2010-06-21/2010-06-27,21,17.85,2,0.85,1
10125,2010-06-28/2010-07-04,20,17.0,1,0.85,1
10125,2010-07-05/2010-07-11,2,1.7,1,0.85,1
10125,2010-07-12/2010-07-18,3,2.55,1,0.85,1
10125,2010-07-19/2010-07-25,60,51.0,2,0.85,1
10125,2010-07-26/2010-08-01,20,17.0,1,0.85,1
10125,2010-08-30/2010-09-05,20,17.0,1,0.85,1
10125,2010-09-06/2010-09-12,4,3.4,1,0.85,1
10125,2010-09-13/2010-09-19,21,17.85,2,0.85,1
10125,2010-09-20/2010-09-26,20,17.0,1,0.85,1
10125,2010-10-04/2010-10-10,20,17.0,1,0.85,1
10125,2010-10-11/2010-10-17,27,24.57,5,1.1199999999999999,1
10125,2010-10-18/2010-10-24,42,35.7,3,0.85,2
10125,2010-10-25/2010-10-31,31,26.349999999999998,5,0.85,1
10125,2010-11-01/2010-11-07,42,35.7,3,0.85,2
10125,2010-11-08/2010-11-14,21,18.66,2,1.255,1
10125,2010-11-15/2010-11-21,44,39.83,5,1.174,2
10125,2010-11-22/2010-11-28,22,20.32,2,1.255,2
10125,2010-11-29/2010-12-05,2,1.7,1,0.85,1
10125,2010-12-06/2010-12-12,43,38.17,4,1.0525,1
10125,2010-12-13/2010-12-19,102,45.32,5,0.916,1
10125,2010-12-20/2010-12-26,7,5.67,1,0.81,1
10125,2011-01-03/2011-01-09,98,48.18,7,0.6428571428571429,3
10125,2011-01-10/2011-01-16,79,40.43000000000001,11,0.6981818181818182,2
10125,2011-01-17/2011-01-23,36,21.040000000000003,10,0.753,1
10125,2011-02-28/2011-03-06,23,20.33,3,1.11,1
10125,2011-03-21/2011-03-27,25,22.029999999999998,3,1.045,1
10125,2011-03-28/2011-04-03,66,56.1,5,0.85,2
10125,2011-04-04/2011-04-10,21,17.85,2,0.85,2
10125,2011-04-11/2011-04-17,40,34.0,2,0.85,1
10125,2011-04-18/2011-04-24,20,17.0,1,0.85,1
10125,2011-04-25/2011-05-01,1,0.85,1,0.85,1
10125,2011-05-02/2011-05-08,5,4.25,3,0.85,1
10125,2011-05-09/2011-05-15,100,85.0,1,0.85,1
10125,2011-05-16/2011-05-22,2,1.7,2,0.85,1
10125,2011-05-30/2011-06-05,1,0.85,1,0.85,1
10125,2011-06-06/2011-06-12,12,10.2,1,0.85,1
10125,2011-06-20/2011-06-26,2,3.26,1,1.63,1
10125,2011-06-27/2011-07-03,4,3.4,1,0.85,1
10125,2011-07-04/2011-07-10,27,23.73,4,1.045,1
10125,2011-07-11/2011-07-17,25,21.25,2,0.85,1
10125,2011-07-18/2011-07-24,120,102.0,2,0.85,2
10125,2011-08-08/2011-08-14,40,34.0,1,0.85,1
10125,2011-08-15/2011-08-21,20,17.0,1,0.85,1
10125,2011-08-22/2011-08-28,25,21.25,2,0.85,2
10125,2011-09-05/2011-09-11,20,17.0,1,0.85,1
10125,2011-09-26/2011-10-02,197,167.45,4,0.85,3
10125,2011-10-03/2011-10-09,4,4.18,2,1.24,1
10125,2011-10-17/2011-10-23,20,17.0,1,0.85,1
10125,2011-10-24/2011-10-30,20,17.0,1,0.85,1
10125,2011-10-31/2011-11-06,2,1.7,1,0.85,1
10125,2011-11-14/2011-11-20,60,51.0,1,0.85,1
10125,2011-11-28/2011-12-04,6,5.1,1,0.85,1
10133,2009-12-07/2009-12-13,48,40.800000000000004,5,0.85,1
10133,2009-12-14/2009-12-20,21,17.85,3,0.85,2
10133,2010-01-04/2010-01-10,150,108.0,1,0.72,1
10133,2010-01-18/2010-01-24,2,2.51,2,1.255,1
10133,2010-01-25/2010-01-31,10,8.5,1,0.85,1
10133,2010-02-15/2010-02-21,52,49.06,5,1.012,1
10133,2010-02-22/2010-02-28,50,42.5,2,0.85,1
10133,2010-03-01/2010-03-07,6,5.1,2,0.85,1
10133,2010-03-08/2010-03-14,16,18.459999999999997,3,1.39,2
10133,2010-03-15/2010-03-21,10,8.5,1,0.85,1
10133,2010-03-22/2010-03-28,6,5.1,2,0.85,1
10133,2010-03-29/2010-04-04,3,2.55,1,0.85,1
10133,2010-04-05/2010-04-11,20,17.0,2,0.85,1
10133,2010-04-12/2010-04-18,1,0.85,1,0.85,1
10133,2010-04-19/2010-04-25,10,7.199999999999999,1,0.72,1
10133,2010-04-26/2010-05-02,14,11.9,2,0.85,1
10133,2010-05-03/2010-05-09,6,9.959999999999999,1,1.66,1
10133,2010-05-10/2010-05-16,60,51.0,4,0.85,1
10133,2010-05-24/2010-05-30,20,15.7,2,0.7849999999999999,1
10133,2010-06-14/2010-06-20,10,8.5,1,0.85,1
10133,2010-06-21/2010-06-27,20,17.0,1,0.85,1
10133,2010-07-05/2010-07-11,20,17.0,1,0.85,1
10133,2010-07-12/2010-07-18,42,35.7,4,0.85,2
10133,2010-07-19/2010-07-25,10,8.5,1,0.85,1
10133,2010-08-02/2010-08-08,14,11.9,2,0.85,1
10133,2010-08-09/2010-08-15,20,17.0,1,0.85,1
10133,2010-08-16/2010-08-22,27,22.95,3,0.85,1
10133,2010-08-30/2010-09-05,4,3.4,1,0.85,1
10133,2010-09-06/2010-09-12,15,14.370000000000001,3,1.1199999999999999,1
10133,2010-09-13/2010-09-19,2,3.32,1,1.66,1
10133,2010-09-27/2010-10-03,32,27.2,3,0.85,2
10133,2010-10-04/2010-10-10,50,42.5,2,0.85,1
10133,2010-10-11/2010-10-17,17,14.450000000000001,3,0.85,1
10133,2010-10-18/2010-10-24,4,3.4,1,0.85,1
10133,2010-10-25/2010-10-31,31,26.35,4,0.85,1
10133,2010-11-01/2010-11-07,27,23.759999999999998,4,1.0525,1
10133,2010-11-15/2010-11-21,36,30.6,4,0.85,1
10133,2010-11-22/2010-11-28,5,5.869999999999999,3,1.39,1
10133,2010-11-29/2010-12-05,25,22.06,6,0.985,1
10133,2010-12-06/2010-12-12,14,11.9,3,0.85,1
10133,2010-12-13/2010-12-19,80,42.2,5,0.592,2
10133,2010-12-20/2010-12-26,16,13.36,2,0.8300000000000001,1
10133,2011-01-03/2011-01-09,11,8.91,5,0.8100000000000002,1
10133,2011-01-10/2011-01-16,67,45.95,8,0.7562500000000001,1
10133,2011-01-17/2011-01-23,92,50.480000000000004,7,0.6842857142857143,1
10133,2011-01-24/2011-01-30,10,8.5,1,0.85,1
10133,2011-02-07/2011-02-13,10,8.5,1,0.85,1
10133,2011-02-14/2011-02-20,10,8.5,1,0.85,1
10133,2011-02-21/2011-02-27,14,11.9,2,0.85,2
10133,2011-02-28/2011-03-06,56,49.16,6,0.98,1
10133,2011-03-07/2011-03-13,2,1.7,1,0.85,1
10133,2011-03-28/2011-04-03,30,25.5,2,0.85,1
10133,2011-04-04/2011-04-10,1,1.63,1,1.63,1
10133,2011-04-11/2011-04-17,70,59.5,1,0.85,1
10133,2011-04-18/2011-04-24,5,4.25,1,0.85,1
10133,2011-05-02/2011-05-08,11,9.35,2,0.85,1
10133,2011-05-09/2011-05-15,20,17.0,1,0.85,1
10133,2011-05-16/2011-05-22,2,1.7,1,0.85,1
10133,2011-05-30/2011-06-05,21,14.329999999999998,3,0.9666666666666667,1
10133,2011-06-06/2011-06-12,174,73.49000000000001,12,0.45416666666666666,1
10133,2011-06-13/2011-06-19,132,62.0,11,0.5318181818181817,1
10133,2011-06-20/2011-06-26,122,63.12,11,0.6081818181818182,2
10133,2011-06-27/2011-07-03,110,67.52,7,0.5371428571428571,1
10133,2011-07-04/2011-07-10,202,109.44,17,0.6129411764705882,1
10133,2011-07-11/2011-07-17,215,100.14,15,0.584,2
10133,2011-07-18/2011-07-24,219,107.97,7,0.5957142857142858,1
10133,2011-07-25/2011-07-31,160,84.83,11,0.5690909090909091,2
10133,2011-08-01/2011-08-07,170,79.6,8,0.625,1
10133,2011-08-08/2011-08-14,92,68.16,3,0.6933333333333334,1
10133,2011-08-15/2011-08-21,245,102.9,9,0.42,3
10133,2011-08-22/2011-08-28,215,90.3,7,0.42,1
10133,2011-08-29/2011-09-04,208,105.39999999999999,17,0.7335294117647058,1
10133,2011-09-05/2011-09-11,30,12.600000000000001,2,0.42,1
10134,2009-12-07/2009-12-13,15,18.75,2,1.25,1
10134,2009-12-14/2009-12-20,15,20.07,4,1.58,2
10134,2010-01-04/2010-01-10,200,212.0,1,1.06,1
10134,2010-01-18/2010-01-24,1,2.51,1,2.51,1
10134,2010-01-25/2010-01-31,14,17.5,2,1.25,1
10134,2010-02-15/2010-02-21,20,25.0,2,1.25,2
10134,2010-02-22/2010-02-28,13,16.25,3,1.25,1
10134,2010-03-01/2010-03-07,1,1.25,1,1.25,1
10134,2010-03-08/2010-03-14,30,37.5,2,1.25,2
10134,2010-03-15/2010-03-21,20,25.0,2,1.25,1
10134,2010-03-22/2010-03-28,3,3.75,2,1.25,1
10134,2010-03-29/2010-04-04,10,12.5,1,1.25,1
10134,2010-04-12/2010-04-18,11,13.75,2,1.25,1
10134,2010-04-19/2010-04-25,8,10.0,3,1.25,1
10134,2010-05-10/2010-05-16,10,12.5,1,1.25,1
10134,2010-06-07/2010-06-13,14,17.5,2,1.25,1
10134,2010-06-28/2010-07-04,3,3.75,1,1.25,1
10134,2010-07-12/2010-07-18,3,3.75,2,1.25,1
10134,2010-07-26/2010-08-01,10,12.5,1,1.25,1
10134,2010-08-02/2010-08-08,12,15.0,2,1.25,1
10134,2010-08-09/2010-08-15,130,137.8,1,1.06,1
10134,2010-09-06/2010-09-12,1,1.25,1,1.25,1
10134,2010-09-13/2010-09-19,2,2.5,1,1.25,1
10134,2010-10-04/2010-10-10,10,12.5,1,1.25,1
10134,2010-10-11/2010-10-17,16,20.0,3,1.25,1
10134,2010-10-18/2010-10-24,2,2.5,1,1.25,1
10134,2010-11-01/2010-11-07,25,31.25,2,1.25,1
10134,2010-11-08/2010-11-14,3,3.75,2,1.25,1
10135,2009-12-07/2009-12-13,26,32.5,3,1.25,1
10135,2009-12-14/2009-12-20,33,55.769999999999996,10,1.778,1
10135,2009-12-21/2009-12-27,3,7.709999999999999,1,2.57,1
10135,2010-01-04/2010-01-10,11,13.75,2,1.25,1
10135,2010-01-11/2010-01-17,12,15.0,2,1.25,1
10135,2010-01-18/2010-01-24,11,13.75,2,1.25,1
10135,2010-01-25/2010-01-31,14,17.5,2,1.25,1
10135,2010-02-01/2010-02-07,45,53.71,5,1.464,1
10135,2010-02-08/2010-02-14,31,38.75,3,1.25,1
10135,2010-02-15/2010-02-21,50,62.5,4,1.25,1
10135,2010-02-22/2010-02-28,742,794.5,5,1.2120000000000002,1
10135,2010-03-01/2010-03-07,1,1.25,1,1.25,1
10135,2010-03-08/2010-03-14,37,47.51,4,1.565,2
10135,2010-03-15/2010-03-21,20,25.0,2,1.25,1
10135,2010-03-22/2010-03-28,20,25.0,2,1.25,1
10135,2010-03-29/2010-04-04,23,28.75,3,1.25,1
10135,2010-04-05/2010-04-11,1,2.51,1,2.51,1
10135,2010-04-12/2010-04-18,11,13.75,2,1.25,1
10135,2010-04-19/2010-04-25,23,30.009999999999998,5,1.502,1
10135,2010-04-26/2010-05-02,35,43.6,3,1.2466666666666668,1
10135,2010-05-10/2010-05-16,10,12.5,1,1.25,1
10135,2010-05-17/2010-05-23,103,109.75,2,1.155,1
10135,2010-05-24/2010-05-30,20,25.0,1,1.25,1
10135,2010-06-07/2010-06-13,30,37.5,3,1.25,1
10135,2010-06-14/2010-06-20,20,25.0,2,1.25,1
10135,2010-06-21/2010-06-27,20,25.0,1,1.25,1
10135,2010-06-28/2010-07-04,23,28.75,3,1.25,1
10135,2010-07-12/2010-07-18,23,28.75,2,1.25,1
10135,2010-07-26/2010-08-01,14,17.5,2,1.25,1
10135,2010-08-09/2010-08-15,10,12.5,1,1.25,1
10135,2010-08-16/2010-08-22,40,50.0,4,1.25,1
10135,2010-08-23/2010-08-29,20,25.0,2,1.25,1
10135,2010-08-30/2010-09-05,11,13.75,2,1.25,1
10135,2010-09-06/2010-09-12,1,1.25,1,1.25,1
10135,2010-09-13/2010-09-19,11,13.75,2,1.25,1
10135,2010-09-20/2010-09-26,2,5.02,1,2.51,1
10135,2010-09-27/2010-10-03,20,25.0,2,1.25,2
10135,2010-10-04/2010-10-10,15,18.75,6,1.25,1
10135,2010-10-11/2010-10-17,35,43.75,5,1.25,1
10135,2010-10-18/2010-10-24,13,16.25,3,1.25,1
10135,2010-10-25/2010-10-31,21,27.509999999999998,3,1.67,1
10135,2010-11-01/2010-11-07,172,196.0,8,1.22625,2
10135,2010-11-08/2010-11-14,58,72.5,6,1.25,1
10135,2010-11-15/2010-11-21,31,42.53,7,1.6099999999999999,2
10135,2010-11-22/2010-11-28,54,73.8,8,1.565,1
10135,2010-11-29/2010-12-05,33,43.769999999999996,6,1.67,1
10135,2010-12-06/2010-12-12,28,51.379999999999995,8,2.0374999999999996,1
10135,2010-12-13/2010-12-19,306,141.06,13,1.063076923076923,1
10135,2010-12-20/2010-12-26,54,55.31,5,1.5939999999999999,1
10135,2011-01-03/2011-01-09,225,150.4,13,0.8830769230769231,1
10135,2011-01-10/2011-01-16,116,96.58000000000001,11,1.1154545454545455,1
10135,2011-01-17/2011-01-23,260,225.4,16,1.14625,1
10135,2011-01-24/2011-01-30,12,15.0,2,1.25,1
10135,2011-01-31/2011-02-06,1,2.46,1,2.46,1
10135,2011-02-07/2011-02-13,1,2.46,1,2.46,1
10135,2011-02-14/2011-02-20,51,48.36,5,1.326,1
10135,2011-02-21/2011-02-27,216,239.26,4,1.8075,2
10135,2011-02-28/2011-03-06,24,30.0,4,1.25,1
