StockCode,description,quantity,revenue,invoices,active_weeks,countries,median_price,first_sale,last_sale,quantity_per_invoice
22616,PACK OF 12 LONDON TISSUES,38582,12267.41,809,82,10,0.29,2010-05-06 11:50:00,2011-12-02 13:12:00,47.69097651421508
21232,STRAWBERRY CERAMIC TRINKET BOX,36757,47626.29,2361,102,24,1.25,2009-12-07 08:24:00,2011-12-04 15:47:00,15.56840321897501
85099F,JUMBO BAG STRAWBERRY,36575,67441.75,1801,101,16,1.95,2009-12-07 11:52:00,2011-12-04 13:59:00,20.308162132148805
84568,GIRLS ALPHABET IRON ON PATCHES,36308,7590.7,300,90,8,0.42,2009-12-07 18:02:00,2011-12-02 16:39:00,121.02666666666667
21915,RED  HARMONICA IN BOX,36286,42660.79,1023,89,20,1.25,2010-03-17 10:22:00,2011-12-02 12:19:00,35.47018572825024
84946,ANTIQUE SILVER TEA GLASS ETCHED,35675,47807.37,1710,102,9,1.25,2009-12-07 10:51:00,2011-12-04 15:18:00,20.862573099415204
84992,72 SWEETHEART FAIRY CAKE CASES,34134,16912.65,1419,102,20,0.55,2009-12-07 17:56:00,2011-12-04 15:19:00,24.054968287526428
71459,HANGING JAM JAR T-LIGHT HOLDER,32713,26479.47,1002,101,10,0.85,2009-12-07 17:56:00,2011-12-01 16:22:00,32.647704590818364
22952,60 CAKE CASES VINTAGE CHRISTMAS,32435,18874.3,1113,50,19,0.55,2010-09-17 15:04:00,2011-12-04 15:13:00,29.141958670260557
21982,PACK OF 12 SUKI TISSUES,31979,10345.869999999999,702,92,11,0.29,2009-12-07 18:02:00,2011-12-02 16:39:00,45.554131054131055
22086,PAPER CHAIN KIT 50'S CHRISTMAS,31533,106989.90000000001,1864,82,12,2.95,2009-12-07 10:38:00,2011-12-04 15:35:00,16.91684549356223
20724,RED RETROSPOT CHARLOTTE BAG,31351,34049.65,1990,102,19,0.85,2009-12-07 11:19:00,2011-12-04 16:07:00,15.754271356783919
22355,CHARLOTTE BAG SUKI DESIGN,30996,43707.4,1698,102,16,0.85,2009-12-07 09:18:00,2011-12-04 14:51:00,18.25441696113074
21975,PACK OF 60 DINOSAUR CAKE CASES,30938,15026.12,1277,102,24,0.55,2009-12-07 15:02:00,2011-12-04 11:45:00,24.227094753328114
21080,SET/20 RED RETROSPOT PAPER NAPKINS,30593,25007.95,2080,102,21,0.85,2009-12-07 10:42:00,2011-12-04 13:32:00,14.708173076923076
85099C,JUMBO  BAG BAROQUE BLACK WHITE,29983,57741.340000000004,1820,102,15,1.95,2009-12-07 14:44:00,2011-12-04 16:02:00,16.474175824175823
16014,SMALL CHINESE STYLE SCISSOR,29275,9481.5,91,58,6,0.42,2009-12-07 11:40:00,2011-12-01 13:32:00,321.7032967032967
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,29049,65821.65,695,75,15,2.55,2009-12-07 17:56:00,2011-12-04 15:54:00,41.79712230215827
21931,JUMBO STORAGE BAG SUKI,28682,60423.29,2265,102,17,1.95,2009-12-07 13:48:00,2011-12-04 13:59:00,12.663134657836645
21731,RED TOADSTOOL LED NIGHT LIGHT,28471,47426.78999999999,1495,101,22,1.65,2009-12-07 10:41:00,2011-12-04 16:07:00,19.044147157190636
47566,PARTY BUNTING,28085,147630.35,2649,101,21,4.95,2009-12-07 11:39:00,2011-12-04 14:51:00,10.602114005285014
22469,HEART OF WICKER SMALL,27811,48759.38,2131,77,15,1.65,2010-04-22 12:12:00,2011-12-04 13:15:00,13.050680431722196
23084,RABBIT NIGHT LIGHT,27536,59757.5,919,30,19,2.08,2011-05-10 14:20:00,2011-12-04 16:02:00,29.963003264417846
22151,PLACE SETTING WHITE HEART,27215,11463.449999999999,700,102,12,0.42,2009-12-07 12:12:00,2011-12-04 15:00:00,38.878571428571426
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,26970,56592.93,2163,96,19,1.95,2010-01-29 13:52:00,2011-12-04 13:59:00,12.468793342579751
21980,PACK OF 12 RED RETROSPOT TISSUES,26958,7530.03,655,100,16,0.29,2009-12-07 15:42:00,2011-12-01 14:55:00,41.157251908396944
21790,VINTAGE SNAP CARDS,26733,23010.5,1828,102,16,0.85,2009-12-07 10:33:00,2011-12-04 14:55:00,14.62417943107221
20727,LUNCH BAG  BLACK SKULL.,26289,44899.47,2302,102,18,1.65,2009-12-07 10:48:00,2011-12-04 15:19:00,11.420069504778454
21498,RED RETROSPOT WRAP,26151,10610.42,786,101,16,0.42,2009-12-07 13:57:00,2011-12-04 12:52:00,33.270992366412216
22423,REGENCY CAKESTAND 3 TIER,26103,325718.47,3880,89,31,12.75,2010-03-15 13:55:00,2011-12-04 16:02:00,6.7275773195876285
84970S,HANGING HEART ZINC T-LIGHT HOLDER,26007,21327.199999999997,1397,102,17,0.85,2009-12-07 17:56:00,2011-12-04 12:52:00,18.61632068718683
37410,BLACK AND WHITE PAISLEY FLOWER MUG,25490,3088.57,31,12,2,1.25,2009-12-07 11:55:00,2010-04-07 14:10:00,822.258064516129
21985,PACK OF 12 HEARTS DESIGN TISSUES,25255,8881.91,895,102,13,0.29,2009-12-07 11:47:00,2011-12-01 16:22:00,28.217877094972067
21929,JUMBO BAG PINK VINTAGE PAISLEY,25250,48936.14,1577,97,15,1.95,2009-12-07 14:10:00,2011-12-04 13:59:00,16.01141407736208
22383,LUNCH BAG SUKI  DESIGN,24946,42968.62,2378,97,17,1.65,2010-01-22 16:28:00,2011-12-04 15:19:00,10.490328006728344
84212,"ASSORTED FLOWER COLOUR ""LEIS""",24740,11926.39,275,88,9,0.65,2009-12-07 15:28:00,2011-11-30 15:27:00,89.96363636363637
20728,LUNCH BAG CARS BLUE,24357,41808.82,2025,102,22,1.65,2009-12-07 11:35:00,2011-12-04 15:19:00,12.028148148148148
20719,WOODLAND CHARLOTTE BAG,24043,26980.48,1543,101,18,0.85,2009-12-07 10:41:00,2011-12-04 16:07:00,15.58198314970836
21181,PLEASE ONE PERSON METAL SIGN,23984,48475.75000000001,1734,77,11,2.1,2009-12-07 12:08:00,2011-12-04 15:19:00,13.831603229527104
21928,JUMBO BAG SCANDINAVIAN PAISLEY,23979,45614.82,1512,100,12,1.95,2009-12-07 14:44:00,2011-12-04 13:59:00,15.859126984126984
84270,ASSTD DESIGN BUBBLE GUM RING,22182,4665.08,454,50,9,0.21,2009-12-07 13:32:00,2010-12-06 16:57:00,48.859030837004404
20726,LUNCH BAG WOODLAND,21845,37996.6,1882,102,20,1.65,2009-12-07 13:24:00,2011-12-04 13:32:00,11.607332624867162
21981,PACK OF 12 WOODLAND TISSUES,21703,5977.889999999999,530,91,16,0.29,2009-12-07 15:42:00,2011-12-02 16:39:00,40.949056603773585
84978,HANGING HEART JAR T-LIGHT HOLDER,21446,28177.350000000002,1404,101,9,1.25,2009-12-07 11:35:00,2011-12-04 13:00:00,15.274928774928775
22417,PACK OF 60 SPACEBOY CAKE CASES,21358,11106.65,1095,96,23,0.55,2010-01-31 15:47:00,2011-12-04 11:45:00,19.50502283105023
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,21305,17480.31,637,90,11,0.85,2009-12-22 15:12:00,2011-12-04 13:00:00,33.445839874411305
21984,PACK OF 12 PINK PAISLEY TISSUES,21139,5957.83,419,99,13,0.29,2009-12-10 11:40:00,2011-12-02 16:39:00,50.45107398568019
20971,PINK BLUE FELT CRAFT TRINKET BOX,21036,27211.86,1116,102,16,1.25,2009-12-07 11:05:00,2011-12-04 15:00:00,18.849462365591396
22384,LUNCH BAG PINK POLKADOT,20689,33894.82,2088,96,23,1.65,2010-01-25 11:18:00,2011-12-04 15:19:00,9.90852490421456
20713,JUMBO BAG OWLS,20503,39973.21,1273,89,16,1.95,2009-12-07 15:26:00,2011-12-02 15:39:00,16.106048703849176
22629,SPACEBOY LUNCH BOX,20441,37303.619999999995,1344,74,21,1.95,2010-07-01 11:59:00,2011-12-04 13:54:00,15.209077380952381
21175,GIN + TONIC DIET METAL SIGN,20356,43066.25,1615,97,15,2.1,2009-12-07 12:08:00,2011-12-04 15:19:00,12.604334365325077
20972,PINK CREAM FELT CRAFT TRINKET BOX,20216,24408.8,1356,102,18,1.25,2009-12-07 12:19:00,2011-12-04 14:40:00,14.908554572271386
84598,BOYS ALPHABET IRON ON PATCHES,20163,4213.86,211,85,6,0.42,2009-12-08 15:49:00,2011-12-01 16:22:00,95.55924170616113
22382,LUNCH BAG SPACEBOY DESIGN,20148,33888.78,2135,97,23,1.65,2010-01-22 16:28:00,2011-12-04 15:19:00,9.437002341920374
23203,JUMBO BAG VINTAGE DOILY,19954,40978.01,1200,31,15,2.08,2011-05-06 15:54:00,2011-12-04 16:07:00,16.628333333333334
22356,CHARLOTTE BAG PINK POLKADOT,19451,20210.01,1545,102,18,0.85,2009-12-07 11:35:00,2011-12-04 16:07:00,12.589644012944984
21166,COOK WITH WINE METAL SIGN,19434,37141.96,1384,94,12,1.95,2009-12-08 15:49:00,2011-12-04 15:19:00,14.041907514450868
21094,SET/6 RED SPOTTY PAPER PLATES,19418,15171.98,972,102,19,0.85,2009-12-10 09:49:00,2011-12-01 16:22:00,19.977366255144034
72741,GRAND CHOCOLATECANDLE,19298,26642.43,894,101,19,1.45,2009-12-07 15:55:00,2011-12-04 11:45:00,21.58612975391499
84836,ZINC METAL HEART DECORATION,19187,23488.87,1365,102,13,1.25,2009-12-07 11:20:00,2011-12-04 12:52:00,14.056410256410256
20668,DISCO BALL CHRISTMAS DECORATION,19182,2249.68,345,72,7,0.12,2009-12-07 11:39:00,2011-12-04 14:45:00,55.6
21231,SWEETHEART CERAMIC TRINKET BOX,18685,23135.04,1431,94,19,1.25,2009-12-07 08:24:00,2011-12-02 11:16:00,13.057302585604472
84692,BOX OF 24 COCKTAIL PARASOLS,18608,9121.99,1100,102,13,0.42,2009-12-07 13:48:00,2011-12-04 12:32:00,16.916363636363638
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,18393,51622.94,1980,102,19,2.95,2009-12-07 10:42:00,2011-12-04 13:20:00,9.289393939393939
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,17998,56703.62,1374,49,12,2.95,2010-09-19 10:20:00,2011-12-04 14:51:00,13.098981077147016
20723,STRAWBERRY CHARLOTTE BAG,17960,19814.04,1353,102,15,0.85,2009-12-07 09:18:00,2011-12-04 14:51:00,13.27420546932742
22630,DOLLY GIRL LUNCH BOX,17922,33103.89,1313,74,24,1.95,2010-07-01 16:48:00,2011-12-04 13:54:00,13.649657273419649
22470,HEART OF WICKER LARGE,17711,53294.83,1934,76,10,2.95,2010-04-22 12:12:00,2011-12-02 16:30:00,9.15770423991727
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17644,20198.06,344,67,12,1.25,2010-08-05 15:01:00,2011-12-02 16:39:00,51.2906976744186
22489,PACK OF 12 TRADITIONAL CRAYONS,17639,7428.67,771,83,20,0.42,2010-03-02 16:36:00,2011-12-04 13:45:00,22.878080415045396
20975,12 PENCILS SMALL TUBE RED RETROSPOT,17636,11539.960000000001,864,87,16,0.65,2009-12-07 12:32:00,2011-12-04 13:59:00,20.412037037037038
20712,JUMBO BAG WOODLAND ANIMALS,17506,36959.91,1381,95,20,2.08,2009-12-07 13:24:00,2011-12-04 16:02:00,12.67632150615496
22585,PACK OF 6 BIRDY GIFT TAGS,17481,21866.57,1074,90,18,1.25,2010-03-10 12:51:00,2011-12-02 16:39:00,16.276536312849164
21326,AGED GLASS SILVER T-LIGHT HOLDER,17202,11228.26,626,100,7,0.65,2009-12-07 11:35:00,2011-12-04 12:44:00,27.47923322683706
22029,SPACEBOY BIRTHDAY CARD,17178,7109.05,1077,101,19,0.42,2009-12-07 18:02:00,2011-12-04 13:54:00,15.949860724233984
21137,BLACK RECORD COVER FRAME,17119,59451.0,599,97,8,3.75,2009-12-07 12:08:00,2011-12-04 12:32:00,28.579298831385643
21497,FANCY FONTS BIRTHDAY WRAP,17100,6822.0,476,98,11,0.42,2009-12-08 12:46:00,2011-12-04 15:18:00,35.924369747899156
22077,6 RIBBONS RUSTIC CHARM,17038,31038.769999999997,1718,93,22,1.65,2009-12-07 17:56:00,2011-12-04 12:52:00,9.917345750873109
21704,BAG 250g SWIRLY MARBLES,17007,13078.619999999999,545,96,12,0.85,2009-12-07 10:33:00,2011-12-04 10:56:00,31.205504587155964
21791,VINTAGE HEADS AND TAILS CARD GAME,17004,22101.79,1258,102,23,1.25,2009-12-07 11:40:00,2011-12-04 13:45:00,13.516693163751988
22385,JUMBO BAG SPACEBOY DESIGN,16987,32277.65,1238,96,17,1.95,2010-01-29 13:46:00,2011-12-04 16:02:00,13.721324717285945
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,16981,16687.42,1057,101,16,0.95,2009-12-07 11:55:00,2011-12-04 13:20:00,16.06527909176916
21733,RED HANGING HEART T-LIGHT HOLDER,16962,48619.22,1694,102,21,2.95,2009-12-07 08:13:00,2011-12-04 15:00:00,10.012987012987013
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,16640,14823.24,1052,51,18,0.85,2010-09-16 16:15:00,2011-12-04 15:28:00,15.817490494296578
21088,SET/6 FRUIT SALAD PAPER CUPS,16590,1811.3400000000001,134,58,7,0.19,2009-12-15 17:02:00,2011-11-28 13:26:00,123.80597014925372
82482,WOODEN PICTURE FRAME WHITE FINISH,16551,40895.54,1949,93,14,2.55,2009-12-07 08:13:00,2011-12-04 12:52:00,8.492047203694202
22090,PAPER BUNTING RETROSPOT,16543,49971.43,1685,102,20,2.95,2009-12-07 12:41:00,2011-12-04 16:07:00,9.81780415430267
16156S,WRAP PINK FAIRY CAKES,16536,6506.12,414,95,14,0.42,2009-12-10 07:43:00,2011-12-02 10:22:00,39.94202898550725
21086,SET/6 RED SPOTTY PAPER CUPS,16494,10675.210000000001,832,96,18,0.65,2009-12-08 12:05:00,2011-12-02 16:04:00,19.82451923076923
22961,JAM MAKING SET PRINTED,16321,25339.0,1172,54,26,1.45,2010-07-23 12:29:00,2011-12-04 11:24:00,13.925767918088738
22294,HEART FILIGREE DOVE  SMALL,16000,19826.32,830,101,11,1.25,2009-12-07 11:40:00,2011-12-01 15:56:00,19.27710843373494
21096,SET/6 FRUIT SALAD  PAPER PLATES,15917,2710.05,142,58,8,0.83,2009-12-10 13:59:00,2011-11-20 11:56:00,112.09154929577464
22659,LUNCH BOX I LOVE LONDON,15894,29453.43,1061,75,18,1.95,2010-03-14 12:18:00,2011-12-04 13:32:00,14.980207351555137
22379,RECYCLING BAG RETROSPOT,15717,34469.46,1558,96,16,2.1,2010-01-25 13:46:00,2011-12-04 16:07:00,10.08793324775353
21500,PINK POLKADOT WRAP,15575,6293.5,483,99,19,0.42,2009-12-08 18:07:00,2011-12-02 12:52:00,32.2463768115942
22189,CREAM HEART CARD HOLDER,15516,46866.3,1257,94,12,3.95,2009-12-07 10:33:00,2011-12-04 12:52:00,12.343675417661098
85152,HAND OVER THE CHOCOLATE   SIGN,15502,29744.760000000002,1423,99,11,2.1,2009-12-07 13:45:00,2011-12-04 15:19:00,10.893886156008433
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,15478,18296.32,656,101,5,1.25,2009-12-07 11:05:00,2011-12-04 14:55:00,23.59451219512195
79321,CHILLI LIGHTS,15447,78292.91,1099,95,10,4.95,2009-12-07 08:24:00,2011-12-02 16:39:00,14.055505004549591
40016,CHINESE DRAGON PAPER LANTERNS,15410,5468.58,242,85,6,0.42,2009-12-07 13:48:00,2011-09-21 14:40:00,63.67768595041322
85175,CACTI T-LIGHT CANDLES,15341,6498.3099999999995,435,92,11,0.42,2009-12-09 10:41:00,2011-11-28 11:18:00,35.266666666666666
22551,PLASTERS IN TIN SPACEBOY,15242,25585.679999999997,1275,88,27,1.65,2010-03-25 12:41:00,2011-12-04 13:59:00,11.95450980392157
22326,ROUND SNACK BOXES SET OF4 WOODLAND,15213,43583.23,1367,94,24,2.95,2010-01-07 16:46:00,2011-12-02 16:39:00,11.12874908558888
16033,MINI HIGHLIGHTER PENS,15121,1544.52,50,36,6,0.12,2009-12-10 12:44:00,2011-02-17 15:40:00,302.42
21787,RAIN PONCHO RETROSPOT,15097,11882.86,461,85,13,0.85,2010-03-25 14:22:00,2011-12-04 14:55:00,32.748373101952275
21121,SET/10 RED POLKADOT PARTY CANDLES,14981,18148.88,857,102,20,1.25,2009-12-07 15:42:00,2011-12-04 11:45:00,17.480746791131857
82494L,WOODEN FRAME ANTIQUE WHITE,14955,42820.39,1920,96,11,2.95,2009-12-07 08:13:00,2011-12-04 12:52:00,7.7890625
21210,SET OF 72 RETROSPOT PAPER  DOILIES,14865,21333.37,1131,95,25,1.45,2009-12-07 10:42:00,2011-12-02 16:39:00,13.143236074270558
23199,JUMBO BAG APPLES,14765,30088.15,956,34,15,2.08,2011-04-11 16:47:00,2011-12-04 16:07:00,15.444560669456067
21829,DINOSAUR KEYRINGS ASSORTED,14703,3170.7,399,95,13,0.21,2009-12-07 11:47:00,2011-10-20 12:07:00,36.849624060150376
21499,BLUE POLKADOT WRAP,14702,5912.84,449,95,19,0.42,2009-12-08 18:07:00,2011-12-02 10:22:00,32.74387527839644
22457,NATURAL SLATE HEART CHALKBOARD,14591,45061.770000000004,2018,85,15,2.95,2010-03-04 10:29:00,2011-12-04 15:13:00,7.230426164519326
22045,SPACEBOY GIFT WRAP,14392,5918.64,467,97,19,0.42,2009-12-07 10:51:00,2011-12-02 10:22:00,30.817987152034263
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,14375,42422.23,772,86,6,3.25,2009-12-07 13:23:00,2011-12-02 11:53:00,18.620466321243523
21976,PACK OF 60 MUSHROOM CAKE CASES,14361,7667.1900000000005,932,102,24,0.55,2009-12-07 13:32:00,2011-12-04 11:45:00,15.408798283261802
21918,SET 12 KIDS COLOUR  CHALK STICKS,14325,5891.55,762,102,20,0.42,2009-12-07 11:40:00,2011-12-04 13:59:00,18.799212598425196
22969,HOMEMADE JAM SCENTED CANDLES,14307,21216.129999999997,697,54,20,1.45,2010-11-21 11:28:00,2011-12-04 15:18:00,20.526542324246773
21703,BAG 125g SWIRLY MARBLES,14284,5529.1900000000005,543,101,12,0.42,2009-12-07 17:56:00,2011-12-04 13:32:00,26.30570902394107
75049L,LARGE CIRCULAR MIRROR MOBILE,13914,13086.3,339,79,1,1.25,2009-12-09 11:40:00,2011-12-02 12:52:00,41.04424778761062
22865,HAND WARMER OWL DESIGN,13906,30050.180000000004,1157,46,11,2.1,2010-09-10 13:59:00,2011-12-04 15:00:00,12.019014693171997
22560,TRADITIONAL MODELLING CLAY,13888,16803.3,730,88,12,1.25,2010-03-25 12:41:00,2011-12-04 13:32:00,19.024657534246575
21877,HOME SWEET HOME MUG,13775,15576.960000000001,727,100,13,1.25,2009-12-08 13:38:00,2011-12-02 12:36:00,18.947730398899587
21085,SET/6 WOODLAND PAPER CUPS,13704,1854.0800000000002,63,22,8,0.65,2009-12-08 16:09:00,2010-07-12 12:44:00,217.52380952380952
21091,SET/6 WOODLAND PAPER PLATES,13686,1855.95,44,13,8,0.85,2009-12-08 16:09:00,2010-03-18 12:47:00,311.04545454545456
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,13660,6975.579999999999,812,63,13,0.85,2010-07-18 11:31:00,2011-12-04 15:28:00,16.822660098522167
37340,MULTICOLOUR SPRING FLOWER MUG,13622,3810.08,196,82,5,0.85,2009-12-07 18:02:00,2011-11-30 15:33:00,69.5
22558,CLOTHES PEGS RETROSPOT PACK 24,13555,19114.43,1186,70,17,1.49,2010-04-14 13:39:00,2011-12-04 12:52:00,11.429173693086003
22297,HEART IVORY TRELLIS SMALL,13526,17451.41,949,102,9,1.25,2009-12-07 11:05:00,2011-12-04 14:01:00,14.252897787144363
22554,PLASTERS IN TIN WOODLAND ANIMALS,13477,22649.249999999996,1254,87,25,1.65,2010-03-25 12:43:00,2011-12-04 13:59:00,10.747208931419458
22556,PLASTERS IN TIN CIRCUS PARADE,13422,22061.85,1177,88,24,1.65,2010-03-25 12:12:00,2011-12-04 13:32:00,11.4035683942226
21986,PACK OF 12 PINK POLKADOT TISSUES,13372,4749.389999999999,454,100,13,0.29,2009-12-07 11:47:00,2011-12-02 16:39:00,29.45374449339207
22740,POLKADOT PEN,13345,11395.31,300,43,11,0.85,2010-09-30 13:57:00,2011-09-26 13:57:00,44.483333333333334
21099,SET/6 STRAWBERRY PAPER CUPS,13265,1499.3400000000001,31,17,5,0.65,2009-12-10 09:49:00,2010-05-07 12:13:00,427.9032258064516
23201,JUMBO BAG ALPHABET,13206,27456.18,880,34,17,2.08,2011-04-11 16:47:00,2011-12-04 13:15:00,15.006818181818181
82580,BATHROOM METAL SIGN,13138,7388.27,1316,102,12,0.55,2009-12-07 10:33:00,2011-12-02 16:39:00,9.983282674772036
20974,12 PENCILS SMALL TUBE SKULL,13093,8599.44,798,99,12,0.65,2009-12-07 11:39:00,2011-11-22 11:18:00,16.407268170426065
21930,JUMBO STORAGE BAG SKULLS,13056,26676.51,1286,102,11,1.95,2009-12-07 13:24:00,2011-12-04 13:59:00,10.152410575427682
22083,PAPER CHAIN KIT RETROSPOT,13000,38357.62,1340,102,18,2.95,2009-12-07 10:33:00,2011-12-02 16:39:00,9.701492537313433
16161P,WRAP ENGLISH ROSE,12948,5330.4,432,87,18,0.42,2009-12-08 12:46:00,2011-11-29 10:01:00,29.97222222222222
20718,RED RETROSPOT SHOPPER BAG,12924,16913.93,1177,102,18,1.25,2009-12-07 08:53:00,2011-12-04 13:59:00,10.980458793542907
22328,ROUND SNACK BOXES SET OF 4 FRUITS,12871,35898.91,1148,98,19,2.95,2010-01-07 16:46:00,2011-12-02 14:48:00,11.211672473867596
21092,SET/6 STRAWBERRY PAPER PLATES,12846,1571.5,28,13,5,0.85,2009-12-07 18:02:00,2010-03-17 13:09:00,458.7857142857143
23209,LUNCH BAG VINTAGE DOILY,12829,20851.37,1070,31,16,1.65,2011-05-08 11:08:00,2011-12-04 13:59:00,11.989719626168224
22534,MAGIC DRAWING SLATE SPACEBOY,12791,5472.79,578,88,15,0.42,2010-03-28 13:10:00,2011-12-02 13:35:00,22.129757785467127
22699,ROSES REGENCY TEACUP AND SAUCER,12791,37336.37,1398,68,21,2.95,2010-08-11 15:46:00,2011-12-04 13:00:00,9.149499284692418
82583,HOT BATHS METAL SIGN,12767,27678.7,1155,97,8,2.1,2009-12-07 10:33:00,2011-12-04 15:19:00,11.053679653679653
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,12676,24858.760000000002,586,98,17,2.55,2009-12-07 17:56:00,2011-12-04 15:19:00,21.631399317406142
22147,FELTCRAFT BUTTERFLY HEARTS,12620,17594.2,1112,101,15,1.45,2009-12-07 12:19:00,2011-12-01 11:18:00,11.348920863309353
21914,BLUE HARMONICA IN BOX,12589,17211.01,921,90,17,1.25,2010-01-25 15:38:00,2011-12-04 14:55:00,13.668838219326819
22030,SWALLOWS GREETING CARD,12513,5092.62,668,95,12,0.42,2009-12-07 12:19:00,2011-12-02 16:39:00,18.732035928143713
20711,JUMBO BAG TOYS,12512,25502.68,1043,102,14,2.08,2009-12-07 18:02:00,2011-12-01 16:22:00,11.996164908916587
22595,GINGHAM HEART DECORATION,12507,10520.519999999999,792,72,18,0.85,2010-07-16 15:26:00,2011-12-04 12:32:00,15.791666666666666
21889,WOODEN BOX OF DOMINOES,12502,16660.23,1080,102,16,1.25,2009-12-07 10:33:00,2011-12-04 14:15:00,11.575925925925926
22610,PENS ASSORTED FUNNY FACE,12464,5066.5,283,77,6,0.21,2010-02-25 09:16:00,2011-12-02 16:34:00,44.042402826855124
22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,12412,6031.62,744,44,12,0.83,2010-07-18 11:31:00,2011-12-04 15:28:00,16.682795698924732
82600,NO SINGING METAL SIGN,12340,25033.230000000003,1163,96,14,2.1,2009-12-07 12:18:00,2011-12-04 15:19:00,10.61049011177988
22866,HAND WARMER SCOTTY DOG DESIGN,12305,27252.550000000003,1042,35,10,2.1,2010-09-10 13:59:00,2011-12-04 15:00:00,11.809021113243762
22149,FELTCRAFT 6 FLOWER FRIENDS,12286,25368.97,1361,97,18,2.1,2009-12-07 15:28:00,2011-11-10 18:46:00,9.027185892725937
22993,SET OF 4 PANTRY JELLY MOULDS,12242,15974.33,1044,42,19,1.25,2011-02-16 15:13:00,2011-12-04 13:54:00,11.726053639846743
22418,10 COLOUR SPACEBOY PEN,12240,10341.42,576,82,18,0.85,2010-05-06 16:21:00,2011-12-02 13:36:00,21.25
21495,SKULLS AND CROSSBONES WRAP,12240,5024.8,367,99,11,0.42,2009-12-08 17:04:00,2011-12-02 10:22:00,33.35149863760218
22998,TRAVEL CARD WALLET KEEP CALM,12208,5185.8,522,42,6,0.42,2011-02-16 16:56:00,2011-12-04 14:09:00,23.386973180076627
21122,SET/10 PINK POLKADOT PARTY CANDLES,12029,14616.04,785,100,21,1.25,2009-12-07 15:42:00,2011-11-30 14:40:00,15.323566878980891
