StockCode,returned_units,return_rows,return_invoices
11001,811.0,11,11
37471,807.0,3,3
21232,804.0,187,183
21481,802.0,15,15
72807A,801.0,13,13
37444C,798.0,3,3
23306,793.0,4,4
23056,789.0,8,8
84406B,781.0,16,16
21098,779.0,9,9
18010,772.0,2,2
84937,765.0,5,5
22150,764.0,9,9
21094,762.0,5,5
84978,761.0,52,52
22804,760.0,12,12
22030,755.0,4,4
22149,750.0,24,24
48185,749.0,9,9
72802B,748.0,12,12
21929,744.0,23,23
35954,744.0,3,3
22328,742.0,25,25
17003,740.0,6,6
84842,731.0,2,2
84755,729.0,28,28
21069,726.0,4,4
21133,724.0,2,2
23199,723.0,21,21
22102,721.0,2,2
17108D,719.0,2,2
23170,718.0,12,12
22992,716.0,8,8
22991,714.0,6,6
23057,713.0,7,7
21493,712.0,3,3
21704,702.0,7,7
21843,696.0,159,158
21166,682.0,18,18
22086,679.0,17,17
22564,679.0,5,5
22219,673.0,7,7
79030D,665.0,2,2
37479P,664.0,3,3
85017A,657.0,5,5
21080,653.0,11,11
90167,639.0,4,4
72802C,635.0,9,9
16161C,632.0,1,1
84493,632.0,2,2
21989,624.0,3,3
85216,618.0,5,5
71459,612.0,36,36
20974,612.0,6,6
21381,603.0,6,6
22080,602.0,5,5
85073,599.0,1,1
23201,594.0,14,14
21621,594.0,13,13
35160,590.0,1,1
23203,590.0,17,17
22959,588.0,7,7
22085,585.0,4,4
22356,582.0,27,27
21380,582.0,6,6
46000S,580.0,9,9
21134,580.0,3,3
21988,576.0,1,1
22435,573.0,5,5
82581,571.0,10,10
85232B,564.0,31,31
85106,562.0,2,2
16202B,561.0,6,6
35610B,541.0,1,1
84466,540.0,11,11
85060,538.0,7,7
22570,537.0,8,8
72586,536.0,2,2
22470,532.0,25,25
22469,532.0,21,21
84997D,531.0,12,12
21787,528.0,3,3
22083,528.0,13,13
21033,527.0,5,5
23167,525.0,9,9
72759,524.0,1,1
22139,523.0,53,53
10138,521.0,7,7
20663,521.0,3,3
85215,519.0,2,2
21733,519.0,36,36
20688,514.0,1,1
82482,513.0,31,31
84949,512.0,66,66
21967,512.0,1,1
85224,507.0,2,2
84971S,506.0,3,3
72045D,504.0,1,1
82600,501.0,8,8
21697,499.0,1,1
22090,497.0,12,12
21136,497.0,5,5
22335,495.0,11,11
84924F,494.0,2,2
85014C,492.0,3,3
22699,491.0,62,62
20712,490.0,19,19
21207,489.0,4,4
21499,484.0,3,3
22103,483.0,4,4
22386,482.0,25,25
21698,480.0,2,2
21735,479.0,41,40
20735,472.0,1,1
16049,471.0,2,2
20679,468.0,11,11
47505,461.0,9,9
72741,461.0,17,17
16168S,460.0,1,1
21498,459.0,4,4
22332,458.0,6,6
85218,454.0,2,2
20714,450.0,1,1
84946,450.0,46,46
23207,448.0,13,13
22961,444.0,15,14
21154,443.0,7,7
20729,442.0,4,4
22411,441.0,22,22
20914,440.0,85,85
22114,439.0,16,16
16169E,438.0,3,3
84927D,436.0,4,4
79030G,429.0,2,2
22569,429.0,6,6
22385,426.0,12,12
16202A,423.0,4,4
85152,422.0,10,10
21878,421.0,3,3
72756,421.0,3,3
16256C,419.0,3,3
22796,419.0,26,26
21902,418.0,6,6
85150,417.0,14,14
37410,416.0,3,3
20666,416.0,3,3
85061W,416.0,5,5
21231,414.0,75,73
82597,413.0,3,3
22561,410.0,11,11
84992,410.0,7,7
79030A,409.0,3,3
21768,408.0,6,6
22835,408.0,11,11
21439,408.0,1,1
84799,406.0,3,3
21642,404.0,16,16
21201,403.0,3,3
22577,401.0,3,3
72802A,401.0,12,12
21181,399.0,19,19
22719,398.0,15,15
75149N,395.0,2,2
22585,394.0,13,13
84614A,392.0,2,2
21931,390.0,34,34
46000M,390.0,7,7
20979,390.0,27,27
20952,388.0,3,3
84754,388.0,3,3
21918,386.0,10,10
21648,386.0,9,9
22568,382.0,10,10
90057,380.0,1,1
22271,379.0,9,9
16051,378.0,1,1
17027A,378.0,2,2
21702,377.0,1,1
84050,376.0,14,14
85112,376.0,2,2
16161M,375.0,2,2
82552,373.0,5,5
85226A,372.0,7,7
21391,371.0,3,3
21396,370.0,3,3
22303,366.0,29,29
84596G,365.0,1,1
21527,364.0,117,117
85104,363.0,3,3
20893,363.0,6,6
22191,362.0,24,24
84922,360.0,1,1
20711,356.0,14,14
20661,354.0,4,4
22302,354.0,11,11
20951,352.0,1,1
20866,350.0,2,2
84991,350.0,14,14
21696,350.0,4,4
22501,349.0,36,36
22489,348.0,8,8
21815,348.0,4,4
23090,347.0,2,2
22960,347.0,88,88
82551,346.0,6,6
21155,344.0,26,26
21868,343.0,31,31
21688,343.0,2,2
22944,343.0,4,4
85196,340.0,2,2
22070,339.0,12,12
22572,338.0,2,2
22659,337.0,22,22
85217,336.0,6,6
79321,336.0,23,23
85042,334.0,62,62
20670,333.0,4,4
84454,332.0,2,2
22534,329.0,6,6
23169,328.0,35,35
21210,328.0,11,11
22101,325.0,2,2
47568,324.0,8,8
84809B,324.0,1,1
35004B,323.0,26,25
21689,323.0,1,1
22198,323.0,64,64
22904,322.0,3,3
72487,322.0,1,1
20724,321.0,36,36
21591,321.0,3,3
21639,320.0,3,3
22903,320.0,2,2
47504K,318.0,7,7
22812,317.0,7,7
22084,317.0,6,6
84997A,316.0,7,7
47504E,316.0,2,2
22900,316.0,12,12
21671,314.0,21,21
15056P,313.0,9,9
85099C,313.0,26,26
35004S,311.0,9,9
84529A,311.0,2,2
22071,309.0,10,10
22035,309.0,4,4
22698,308.0,49,49
22168,308.0,34,34
82483,308.0,87,84
85049G,305.0,7,7
82599,305.0,5,5
84613A,303.0,3,3
22630,302.0,20,20
POST,302.0,228,226
21078,302.0,3,3
21987,301.0,4,4
85178,301.0,6,6
21833,300.0,11,11
85231L,300.0,2,2
47591C,300.0,1,1
20662,300.0,1,1
20733,300.0,1,1
22051,300.0,1,1
35004C,298.0,33,33
35970,297.0,9,9
84520D,296.0,3,3
21502,296.0,2,2
37330,296.0,4,4
82580,295.0,9,9
21928,295.0,24,24
22915,294.0,5,5
21578,292.0,5,5
18097C,292.0,2,2
21634,290.0,6,6
72739B,290.0,3,3
79191C,289.0,25,25
72739C,288.0,5,5
21811,288.0,2,2
21479,288.0,10,10
37450,288.0,29,29
22574,288.0,2,2
22481,288.0,1,1
22551,287.0,18,18
85185B,287.0,3,3
40001,285.0,12,12
22384,285.0,36,36
22199,283.0,7,7
37449,283.0,74,74
35643,283.0,2,2
22492,281.0,14,14
35400,280.0,46,46
21165,280.0,9,9
20977,280.0,7,7
21786,279.0,3,3
21558,278.0,10,10
84968B,278.0,3,3
10123C,278.0,4,4
16212,278.0,2,2
85199L,277.0,5,5
22922,276.0,6,6
22301,276.0,27,27
22087,275.0,14,14
22621,275.0,8,8
22297,275.0,6,6
16161P,275.0,2,2
22493,274.0,5,5
21051,273.0,4,4
22988,273.0,11,10
77081,273.0,3,3
20867,271.0,1,1
20730,271.0,4,4
21950,271.0,3,3
21535,270.0,50,50
22034,270.0,5,5
40003,269.0,9,9
22459,268.0,2,2
47503G,267.0,1,1
84968D,267.0,2,2
20753,266.0,3,3
47599A,265.0,4,4
21355,265.0,4,4
22300,263.0,21,21
23344,262.0,7,7
20984,262.0,4,4
85111,261.0,2,2
22791,260.0,13,13
22924,259.0,6,6
16156S,256.0,4,4
37422,256.0,3,3
84858B,254.0,2,2
21161,254.0,6,6
35001G,254.0,4,4
23155,253.0,15,15
22044,253.0,3,3
22382,253.0,20,20
22313,252.0,2,2
47503K,251.0,5,5
21981,251.0,4,4
22047,250.0,3,3
22464,250.0,26,26
20840,249.0,4,4
17165B,249.0,4,4
85118,248.0,13,13
85162A,246.0,5,5
85231E,246.0,2,2
21100,246.0,7,7
20758,245.0,3,3
35972,245.0,4,4
21351,245.0,6,6
16161E,245.0,1,1
84601A,244.0,3,3
72038B,244.0,1,1
22907,244.0,7,7
22077,243.0,16,16
23202,242.0,6,6
22897,242.0,6,6
84795D,241.0,2,2
22307,241.0,8,8
21670,241.0,10,10
22105,241.0,2,2
21820,240.0,4,4
23157,240.0,1,1
23284,240.0,8,8
22951,240.0,6,6
22078,239.0,4,4
22666,237.0,63,63
47556B,237.0,5,5
22588,236.0,4,4
21294,235.0,2,2
21644,233.0,5,5
79029,233.0,14,14
85025C,232.0,3,3
20871,232.0,3,3
22158,232.0,17,17
35611B,231.0,2,2
51014C,230.0,6,6
37327,230.0,3,3
90025C,230.0,1,1
21090,228.0,4,4
22027,228.0,7,7
21399,228.0,6,5
85230E,226.0,2,2
37464,226.0,3,3
21272,225.0,6,5
22554,225.0,10,10
21916,225.0,5,5
21496,225.0,2,2
21503,225.0,3,3
22595,224.0,2,2
22575,224.0,8,8
22902,224.0,3,3
21647,224.0,4,4
21891,222.0,15,15
85017B,222.0,3,3
85230F,222.0,2,2
21016,221.0,3,3
22042,221.0,3,3
84807,220.0,2,2
21330,220.0,3,3
84380,219.0,9,9
22173,219.0,13,13
21977,219.0,11,11
21937,219.0,15,15
22896,218.0,3,3
22304,218.0,6,6
22720,218.0,75,75
22306,217.0,5,5
22111,217.0,15,15
22156,217.0,27,27
22963,215.0,13,13
22834,215.0,8,8
35983,215.0,2,2
90085,213.0,3,3
47591D,213.0,6,6
15056BL,213.0,12,12
21192,212.0,2,2
22217,211.0,4,4
85198,211.0,2,2
22305,211.0,6,6
47567B,211.0,9,9
21614,211.0,6,6
22058,210.0,5,5
22336,208.0,3,3
21655,208.0,7,7
22418,208.0,10,10
35832,208.0,4,4
20821,208.0,4,4
84692,207.0,8,8
21035,207.0,5,5
47591B,207.0,1,1
16258B,207.0,1,1
47599B,206.0,4,4
20798,206.0,17,16
84854,206.0,4,4
21482,205.0,3,3
84711A,205.0,1,1
35924,205.0,11,11
17109B,205.0,1,1
84945,204.0,33,33
51014L,204.0,4,4
84877D,204.0,2,2
22154,204.0,14,14
21790,203.0,13,12
21914,203.0,7,7
21169,202.0,12,12
21147,202.0,3,3
85047,202.0,44,44
82613A,202.0,3,3
90096,202.0,2,2
22189,201.0,16,16
84195,201.0,1,1
17014A,201.0,2,2
16169C,200.0,1,1
17129F,200.0,4,4
35955,200.0,1,1
35071,200.0,1,1
20760,200.0,2,2
23210,200.0,4,4
16156N,200.0,1,1
22866,199.0,8,8
21112,198.0,3,3
35958,198.0,1,1
84800L,197.0,3,3
22348,197.0,7,7
22584,197.0,5,5
16169F,196.0,1,1
84927E,196.0,3,3
85214,196.0,1,1
20966,195.0,4,4
51014A,195.0,4,4
21041,194.0,8,8
21810,194.0,3,3
20856,193.0,4,4
21980,192.0,6,6
21504,192.0,3,3
21625,191.0,1,1
21973,191.0,3,3
23205,191.0,8,8
79163,191.0,6,6
21729,190.0,1,1
22339,190.0,8,7
84613C,190.0,2,2
22152,190.0,5,5
84919,189.0,7,7
22383,188.0,32,32
47590A,188.0,9,9
22923,188.0,7,7
22502,187.0,18,18
22360,187.0,39,39
72529W,187.0,5,4
20723,187.0,23,23
22837,187.0,5,5
20681,186.0,17,17
22865,186.0,15,15
21099,186.0,4,4
23204,186.0,8,8
35607B,186.0,3,3
84535A,185.0,3,3
35968,185.0,5,5
84596E,185.0,3,3
22962,185.0,22,22
22355,185.0,31,31
21974,185.0,12,12
21586,184.0,5,5
22697,184.0,58,58
23004,184.0,4,4
18096C,183.0,3,3
20759,182.0,2,2
22983,181.0,3,3
21539,181.0,50,50
84341B,181.0,2,2
22867,181.0,8,8
22491,180.0,3,3
22694,180.0,8,8
22285,179.0,3,3
37353,179.0,1,1
22892,178.0,22,22
22245,178.0,9,9
84818,177.0,10,10
22998,177.0,11,11
37467,177.0,1,1
37503,176.0,14,14
22560,175.0,4,4
21593,175.0,2,2
84249A,175.0,2,2
16169D,174.0,2,2
45016,172.0,3,3
44230,172.0,5,5
20830,172.0,5,5
21703,171.0,9,9
20937,170.0,1,1
84569C,170.0,4,4
21121,170.0,9,9
20826,169.0,2,2
85190,169.0,2,2
22163,169.0,6,6
84078A,169.0,22,22
22413,169.0,7,7
21017,168.0,2,2
23318,168.0,7,7
22667,168.0,39,39
85230B,168.0,1,1
79067,168.0,10,10
22652,167.0,12,12
21172,167.0,9,9
22153,166.0,5,5
82553,166.0,2,2
85049C,166.0,4,4
18098C,164.0,2,2
72803A,164.0,5,5
90005A,164.0,1,1
84559B,162.0,2,2
84612B,162.0,1,1
84691,161.0,4,4
84396,161.0,2,2
20757,160.0,1,1
21682,160.0,3,3
20756,159.0,2,2
35951,159.0,2,2
20913,159.0,1,1
21102,158.0,2,2
20832,158.0,4,4
21313,158.0,15,15
21190,157.0,3,3
21637,157.0,2,2
21110,157.0,4,4
20738,156.0,2,2
47590B,156.0,12,12
22112,156.0,13,13
22933,156.0,2,2
22272,156.0,3,3
84763,155.0,2,2
85049F,155.0,3,3
21163,155.0,4,4
22171,155.0,33,33
21429,155.0,21,21
21770,155.0,7,7
21889,155.0,13,13
84925F,154.0,2,2
21888,154.0,11,11
21214,154.0,2,2
22579,154.0,3,3
21901,153.0,5,5
84859C,153.0,1,1
21430,152.0,23,23
22363,152.0,13,13
21699,152.0,1,1
22956,152.0,3,3
21543,152.0,1,1
23300,152.0,7,7
85071A,152.0,2,2
72755D,152.0,2,2
22533,152.0,3,3
20772,151.0,3,3
22898,151.0,2,2
21890,150.0,7,7
21009,150.0,4,4
90092,150.0,3,2
21258,150.0,43,43
84801A,150.0,2,2
22050,150.0,3,3
22052,150.0,4,4
21384,150.0,1,1
21027,150.0,2,2
21238,149.0,22,22
22268,149.0,9,9
21402,148.0,2,2
37365Y,148.0,1,1
72800A,148.0,1,1
84279P,148.0,20,20
22838,147.0,22,22
85170A,147.0,4,4
84993B,147.0,2,2
21785,147.0,2,2
20934,147.0,10,10
22202,146.0,14,14
20820,146.0,2,2
37448,146.0,27,27
21841,146.0,3,3
17010S,146.0,1,1
20969,145.0,2,2
22465,145.0,17,17
90162A,145.0,1,1
85231K,145.0,1,1
22187,145.0,15,15
21463,144.0,29,29
20775,144.0,3,3
21984,144.0,5,5
21541,144.0,4,4
22818,144.0,5,5
21311,144.0,3,3
22593,144.0,1,1
85019C,144.0,3,3
22609,144.0,4,4
23228,144.0,1,1
21537,144.0,14,14
21673,143.0,9,9
21653,143.0,4,4
21255,143.0,3,3
22691,143.0,3,3
84798B,143.0,3,3
22692,143.0,3,3
82578,143.0,3,3
20879,143.0,3,3
21936,143.0,24,24
21869,142.0,6,6
21174,142.0,4,4
37495,142.0,33,33
84375,142.0,7,7
21672,142.0,9,9
85174,141.0,10,10
21472,141.0,2,2
23071,141.0,5,5
17109D,141.0,2,2
22522,141.0,3,3
22969,140.0,8,8
21171,140.0,2,2
22738,140.0,3,3
84944,140.0,6,6
21809,140.0,1,1
20671,139.0,2,2
21743,139.0,6,6
47559B,138.0,7,7
35838B,137.0,1,1
22449,137.0,3,3
84029E,137.0,13,13
20676,137.0,13,13
22064,137.0,39,38
21669,137.0,14,14
21353,136.0,1,1
20719,135.0,17,17
21668,135.0,14,14
84750A,135.0,10,10
22181,134.0,5,5
20991,134.0,1,1
47570,134.0,2,2
21892,134.0,12,12
84971L,134.0,3,3
85189,134.0,6,6
22776,134.0,51,51
22637,134.0,31,31
23200,134.0,6,6
85132B,134.0,3,3
22614,133.0,6,6
21431,133.0,4,4
85231G,132.0,3,3
22113,132.0,7,7
21935,131.0,4,4
90037D,131.0,2,2
22536,131.0,2,2
22451,131.0,5,5
85232D,131.0,8,8
22461,130.0,33,33
21818,130.0,1,1
22739,130.0,2,2
22033,130.0,2,2
84192,130.0,1,1
37482B,130.0,1,1
85223,129.0,1,1
22456,129.0,53,53
21713,128.0,20,19
84809A,128.0,2,2
72755C,128.0,3,3
23002,128.0,8,8
46000R,128.0,2,2
85049D,128.0,3,3
84800M,127.0,2,2
82615,127.0,3,3
21824,127.0,2,2
72351B,127.0,7,7
22170,126.0,29,29
21747,126.0,3,3
22024,126.0,5,5
22990,126.0,11,11
15059A,126.0,1,1
84452,126.0,3,3
22710,125.0,5,5
20717,125.0,5,5
22049,125.0,2,2
84970S,125.0,14,14
84804A,125.0,1,1
84802B,125.0,1,1
85226B,125.0,1,1
22444,124.0,10,10
23175,124.0,12,12
22635,124.0,26,25
21610,124.0,2,2
84559D,124.0,4,4
23159,124.0,4,4
85195,124.0,3,3
21904,124.0,3,3
21823,124.0,3,3
85135B,123.0,5,5
22155,123.0,4,4
21870,123.0,19,19
84247L,123.0,2,2
20700,123.0,3,3
47347B,122.0,1,1
37342,122.0,4,4
23581,122.0,4,4
23072,122.0,3,3
22457,122.0,32,32
21257,121.0,16,16
21160,121.0,5,5
23582,121.0,3,3
85219,121.0,2,2
85132C,121.0,7,7
23250,121.0,8,8
21007,121.0,1,1
37350,121.0,1,1
22106,121.0,2,2
20748,120.0,1,1
85074,120.0,1,1
84571,120.0,1,1
22535,120.0,3,3
84826,120.0,2,2
22948,120.0,3,3
22037,120.0,2,2
84012,120.0,1,1
23215,120.0,1,1
20960,120.0,2,2
20987,120.0,2,2
22932,120.0,2,2
35271S,120.0,2,2
22632,119.0,13,13
21388,119.0,1,1
35631A,119.0,1,1
21447,119.0,3,3
90190B,118.0,1,1
84534B,118.0,5,5
16254,118.0,3,3
35605A,117.0,1,1
23243,117.0,35,35
21159,117.0,4,4
37379A,116.0,3,3
20968,116.0,1,1
85090,116.0,4,4
21519,116.0,4,4
22162,116.0,6,6
23319,116.0,6,6
82585,115.0,3,3
84741C,115.0,2,2
35993,115.0,1,1
21736,114.0,2,2
20993,114.0,1,1
22146,114.0,5,5
22088,114.0,6,6
23301,114.0,11,11
20803,114.0,4,4
22061,114.0,64,63
20658,114.0,4,4
22028,114.0,5,5
22417,114.0,5,5
20694,114.0,2,2
22499,113.0,4,4
72818,113.0,4,4
20827,113.0,2,2
37399,113.0,1,1
85130A,113.0,2,2
16169P,111.0,3,3
22583,111.0,6,6
84855,111.0,2,2
23298,110.0,12,12
22036,110.0,3,3
16216,110.0,3,2
22242,110.0,11,11
22364,110.0,29,29
22775,110.0,5,5
20938,109.0,1,1
22571,109.0,3,3
22673,109.0,3,3
85066,109.0,57,57
84997B,109.0,7,7
22646,109.0,33,32
21658,109.0,55,55
22169,109.0,36,36
71028B,109.0,1,1
35001W,108.0,8,8
21490,108.0,6,6
22121,108.0,5,5
22142,108.0,7,7
16054,108.0,1,1
21985,108.0,3,3
84569A,108.0,3,3
22714,108.0,4,4
21320,108.0,10,10
22556,107.0,19,19
72754D,107.0,2,2
20865,107.0,3,3
21203,107.0,3,3
22294,107.0,7,7
84675,107.0,3,3
84912B,107.0,2,2
20906,107.0,2,2
22095,107.0,7,7
22644,107.0,19,19
22231,107.0,18,18
85064,106.0,6,6
72226D,106.0,1,1
72024U,106.0,1,1
21385,106.0,4,4
84950,106.0,11,10
22174,106.0,3,3
22244,106.0,17,17
84858A,106.0,2,2
23032,106.0,12,12
20823,106.0,2,2
20825,106.0,4,4
84247E,106.0,8,8
22057,105.0,12,12
82486,105.0,44,44
22523,105.0,4,4
22045,105.0,5,5
21445,105.0,3,3
85186B,105.0,1,1
17109C,105.0,3,3
22164,104.0,3,3
84849D,104.0,4,4
21426,104.0,10,10
20686,103.0,8,8
22908,103.0,5,5
84989B,103.0,2,2
22520,103.0,3,3
35471A,103.0,4,4
23322,103.0,11,11
23172,102.0,9,9
23165,102.0,18,18
72008,102.0,3,3
22591,102.0,14,14
21326,102.0,11,11
84836,102.0,9,9
84625C,102.0,9,9
85132A,102.0,6,6
21246,102.0,6,6
21067,102.0,6,6
10133,102.0,3,3
21690,101.0,1,1
22143,101.0,4,4
22521,101.0,3,3
21724,101.0,2,2
20958,101.0,2,2
35950,101.0,1,1
22243,101.0,15,15
22450,101.0,5,5
35607A,100.0,1,1
22389,100.0,1,1
22073,100.0,29,29
23187,99.0,5,5
85142,99.0,2,2
21244,98.0,10,10
21907,98.0,5,5
21424,98.0,10,10
72051S,98.0,3,3
S,98.0,98,34
85185D,98.0,2,2
84804B,97.0,2,2
84508A,97.0,5,5
84927A,97.0,6,6
23171,97.0,5,5
21187,97.0,1,1
35976B,97.0,3,3
20967,97.0,4,4
20854,97.0,4,4
21158,97.0,3,3
22398,96.0,6,5
17014C,96.0,1,1
23109,96.0,1,1
84007,96.0,2,2
84459A,96.0,5,5
22930,96.0,1,1
20665,96.0,7,7
21651,96.0,2,2
22157,96.0,2,2
84805B,96.0,1,1
22553,96.0,10,10
84805A,96.0,1,1
23355,96.0,8,8
23351,96.0,3,3
21849,96.0,1,1
17084G,95.0,1,1
21975,95.0,4,4
22107,95.0,12,12
35609A,95.0,2,2
21217,95.0,30,30
84718,95.0,1,1
22338,95.0,5,5
84535B,95.0,2,2
37352,94.0,2,2
21248,94.0,4,4
21428,94.0,10,10
21701,94.0,2,2
85188B,94.0,2,2
21619,94.0,1,1
21432,94.0,12,12
84802A,94.0,2,2
22634,94.0,53,53
21071,94.0,5,5
21318,94.0,13,13
85035A,93.0,8,8
21076,93.0,2,2
84378,93.0,9,9
84688,93.0,9,9
37482P,93.0,1,1
20716,93.0,3,3
85048,93.0,50,50
84251F,92.0,2,2
85034A,92.0,6,6
22094,92.0,8,8
21789,92.0,5,5
22180,92.0,32,32
22633,92.0,10,10
82613B,92.0,3,3
62094B,92.0,1,1
20685,91.0,12,12
85232A,91.0,17,17
21241,91.0,2,2
72817,91.0,2,2
85053,91.0,18,18
22979,91.0,5,5
21014,91.0,2,2
22544,91.0,2,2
21873,91.0,4,4
22427,91.0,22,22
16237,91.0,3,3
22148,90.0,8,8
84029G,90.0,10,10
82587,90.0,3,3
23245,90.0,37,37
DCGSSBOY,90.0,1,1
21173,90.0,2,2
21068,89.0,8,8
21340,89.0,16,16
21213,89.0,3,3
22810,89.0,4,4
23307,88.0,5,5
22689,88.0,3,3
22550,88.0,8,8
22596,88.0,10,10
62096A,88.0,1,1
23256,88.0,8,8
23174,88.0,17,17
22161,88.0,2,2
21817,88.0,2,2
85206A,87.0,5,5
22607,87.0,10,10
37333,87.0,2,2
37461,87.0,3,3
47502,87.0,9,9
84751B,87.0,4,4
22645,87.0,16,16
72771B,87.0,1,1
21693,87.0,1,1
77101A,87.0,1,1
22487,86.0,38,38
17012A,86.0,1,1
22145,86.0,3,3
21804,86.0,2,2
71279,86.0,9,9
21179,86.0,3,3
21256,86.0,1,1
16215,86.0,1,1
20891,85.0,1,1
21876,85.0,16,15
20855,85.0,3,3
21781,85.0,21,21
22207,85.0,6,6
84743C,85.0,3,3
22792,85.0,2,2
85036A,84.0,3,3
21162,84.0,2,2
