StockCode,description,quantity,revenue,invoices,active_weeks,countries,median_price,first_sale,last_sale,quantity_per_invoice,revenue_share_pct,revenue_cumulative_pct
20725,LUNCH BAG RED RETROSPOT,39747,70137.21,2991,102,21,1.65,2009-12-07 11:35:00,2011-12-04 15:19:00,13.288866599799398,0.3559149739861212,11.490221511763542
85099F,JUMBO BAG STRAWBERRY,36575,67441.75,1801,101,16,1.95,2009-12-07 11:52:00,2011-12-04 13:59:00,20.308162132148805,0.34223671994977395,11.832458231713316
48138,DOORMAT UNION FLAG,10022,66554.66,1650,101,12,7.49,2009-12-15 11:56:00,2011-12-04 11:55:00,6.073939393939394,0.3377351349241742,12.17019336663749
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,29049,65821.65,695,75,15,2.55,2009-12-07 17:56:00,2011-12-04 15:54:00,41.79712230215827,0.3340154369909149,12.504208803628405
20685,DOORMAT RED RETROSPOT,9569,64950.27,1670,101,18,7.95,2009-12-07 10:33:00,2011-12-04 12:52:00,5.729940119760479,0.3295935731894888,12.833802376817893
21843,RED RETROSPOT CAKE STAND,6001,63289.439999999995,1484,102,18,10.95,2009-12-07 10:33:00,2011-12-04 13:32:00,4.043800539083558,0.3211656036959008,13.154967980513794
22502,PICNIC BASKET WICKER SMALL,3766,60880.3,924,69,8,5.95,2010-05-23 10:54:00,2011-09-25 14:33:00,4.075757575757576,0.3089402956115199,13.463908276125313
21931,JUMBO STORAGE BAG SUKI,28682,60423.29,2265,102,17,1.95,2009-12-07 13:48:00,2011-12-04 13:59:00,12.663134657836645,0.3066211742455375,13.77052945037085
23084,RABBIT NIGHT LIGHT,27536,59757.5,919,30,19,2.08,2011-05-10 14:20:00,2011-12-04 16:02:00,29.963003264417846,0.3032425877501491,14.073772038121
21621,VINTAGE UNION JACK BUNTING,6821,59606.409999999996,1265,100,10,8.5,2009-12-07 08:53:00,2011-12-04 13:20:00,5.3920948616600795,0.30247587357062067,14.376247911691621
21137,BLACK RECORD COVER FRAME,17119,59451.0,599,97,8,3.75,2009-12-07 12:08:00,2011-12-04 12:32:00,28.579298831385643,0.30168723732308267,14.677935149014704
85099C,JUMBO  BAG BAROQUE BLACK WHITE,29983,57741.340000000004,1820,102,15,1.95,2009-12-07 14:44:00,2011-12-04 16:02:00,16.474175824175823,0.2930114774172479,14.970946626431953
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,17998,56703.62,1374,49,12,2.95,2010-09-19 10:20:00,2011-12-04 14:51:00,13.098981077147016,0.2877455125063985,15.258692138938352
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,26970,56592.93,2163,96,19,1.95,2010-01-29 13:52:00,2011-12-04 13:59:00,12.468793342579751,0.2871838102591816,15.545875949197534
15056N,EDWARDIAN PARASOL NATURAL,10509,55157.28,1009,102,13,5.95,2009-12-07 08:13:00,2011-12-04 14:55:00,10.415262636273539,0.27989852856059144,15.825774477758126
82484,WOOD BLACK BOARD ANT WHITE FINISH,9506,54876.7,1155,86,15,6.75,2010-04-11 10:30:00,2011-12-04 15:19:00,8.23030303030303,0.27847471054158235,16.104249188299708
22112,CHOCOLATE HOT WATER BOTTLE,10448,54493.79,1634,102,16,4.95,2009-12-07 12:08:00,2011-12-04 15:00:00,6.394124847001224,0.27653161353659705,16.380780801836305
22114,HOT WATER BOTTLE TEA AND SYMPATHY,10754,54294.73,1482,76,18,3.95,2009-12-07 10:41:00,2011-12-04 10:10:00,7.256410256410256,0.2755214730602126,16.656302274896518
22470,HEART OF WICKER LARGE,17711,53294.83,1934,76,10,2.95,2010-04-22 12:12:00,2011-12-02 16:30:00,9.15770423991727,0.2704474277355023,16.92674970263202
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,18393,51622.94,1980,102,19,2.95,2009-12-07 10:42:00,2011-12-04 13:20:00,9.289393939393939,0.2619633336881677,17.188713036320188
22178,VICTORIAN GLASS HANGING T-LIGHT,39195,50797.88,1768,102,17,1.25,2009-12-07 10:51:00,2011-12-04 15:16:00,22.169117647058822,0.25777652317151056,17.4464895594917
21212,PACK OF 72 RETROSPOT CAKE CASES,93090,50706.5,3040,102,26,0.55,2009-12-07 10:33:00,2011-12-04 14:51:00,30.62171052631579,0.25731281053847527,17.703802370030175
22139,RETROSPOT TEA SET CERAMIC 11 PC,10123,50273.630000000005,1997,99,27,4.95,2009-12-07 08:53:00,2011-12-04 16:07:00,5.069103655483225,0.25511618887660176,17.958918558906777
22090,PAPER BUNTING RETROSPOT,16543,49971.43,1685,102,20,2.95,2009-12-07 12:41:00,2011-12-04 16:07:00,9.81780415430267,0.2535826590264893,18.212501217933266
21929,JUMBO BAG PINK VINTAGE PAISLEY,25250,48936.14,1577,97,15,1.95,2009-12-07 14:10:00,2011-12-04 13:59:00,16.01141407736208,0.24832902527889522,18.46083024321216
22469,HEART OF WICKER SMALL,27811,48759.38,2131,77,15,1.65,2010-04-22 12:12:00,2011-12-04 13:15:00,13.050680431722196,0.2474320473295045,18.708262290541665
21733,RED HANGING HEART T-LIGHT HOLDER,16962,48619.22,1694,102,21,2.95,2009-12-07 08:13:00,2011-12-04 15:00:00,10.012987012987013,0.24672079801186134,18.954983088553526
21181,PLEASE ONE PERSON METAL SIGN,23984,48475.75000000001,1734,77,11,2.1,2009-12-07 12:08:00,2011-12-04 15:19:00,13.831603229527104,0.24599275192451647,19.20097584047804
48194,DOORMAT HEARTS,7676,48327.88,1324,102,14,7.95,2009-12-07 11:35:00,2011-12-04 10:11:00,5.7975830815709966,0.24524237780493957,19.44621821828298
84946,ANTIQUE SILVER TEA GLASS ETCHED,35675,47807.37,1710,102,9,1.25,2009-12-07 10:51:00,2011-12-04 15:18:00,20.862573099415204,0.24260102233742786,19.688819240620408
21232,STRAWBERRY CERAMIC TRINKET BOX,36757,47626.29,2361,102,24,1.25,2009-12-07 08:24:00,2011-12-04 15:47:00,15.56840321897501,0.2416821223200276,19.930501362940436
21731,RED TOADSTOOL LED NIGHT LIGHT,28471,47426.78999999999,1495,101,22,1.65,2009-12-07 10:41:00,2011-12-04 16:07:00,19.044147157190636,0.24066974904041988,20.171171111980858
22189,CREAM HEART CARD HOLDER,15516,46866.3,1257,94,12,3.95,2009-12-07 10:33:00,2011-12-04 12:52:00,12.343675417661098,0.2378255129527643,20.40899662493362
22111,SCOTTIE DOG HOT WATER BOTTLE,9131,46452.05,1596,99,16,4.95,2009-12-07 10:48:00,2011-12-04 14:55:00,5.721177944862156,0.23572337946365415,20.644720004397275
48187,DOORMAT NEW ENGLAND,7210,45668.56,1243,95,13,7.95,2009-12-07 10:33:00,2011-12-04 15:35:00,5.80048270313757,0.23174751810606115,20.876467522503336
21928,JUMBO BAG SCANDINAVIAN PAISLEY,23979,45614.82,1512,100,12,1.95,2009-12-07 14:44:00,2011-12-04 13:59:00,15.859126984126984,0.23147481163966457,21.107942334143
21754,HOME BUILDING BLOCK WORD,7407,45304.39,2019,102,16,5.95,2009-12-07 10:33:00,2011-12-04 11:56:00,3.6686478454680533,0.22989951822017282,21.337841852363173
48185,DOORMAT FAIRY CAKE,6753,45206.25,961,102,14,7.95,2009-12-07 08:24:00,2011-12-04 11:45:00,7.027055150884495,0.22940150161034478,21.567243353973517
22457,NATURAL SLATE HEART CHALKBOARD,14591,45061.770000000004,2018,85,15,2.95,2010-03-04 10:29:00,2011-12-04 15:13:00,7.230426164519326,0.22866833022469207,21.79591168419821
21523,DOORMAT FANCY FONT HOME SWEET HOME,6758,45006.89,1083,100,12,7.95,2009-12-07 08:13:00,2011-12-04 13:32:00,6.2400738688827335,0.2283898387681263,22.024301522966336
20727,LUNCH BAG  BLACK SKULL.,26289,44899.47,2302,102,18,1.65,2009-12-07 10:48:00,2011-12-04 15:19:00,11.420069504778454,0.22784473030849997,22.252146253274837
21623,VINTAGE UNION JACK MEMOBOARD,6102,44853.63,523,91,9,9.95,2010-02-28 15:58:00,2011-12-04 13:45:00,11.667304015296367,0.22761211280906532,22.479758366083903
22138,BAKING SET 9 PIECE RETROSPOT,8954,43782.880000000005,1826,97,29,4.95,2009-12-07 09:42:00,2011-12-04 13:55:00,4.903614457831325,0.22217853541989285,22.701936901503796
22355,CHARLOTTE BAG SUKI DESIGN,30996,43707.4,1698,102,16,0.85,2009-12-07 09:18:00,2011-12-04 14:51:00,18.25441696113074,0.22179550817605936,22.923732409679854
22326,ROUND SNACK BOXES SET OF4 WOODLAND,15213,43583.23,1367,94,24,2.95,2010-01-07 16:46:00,2011-12-02 16:39:00,11.12874908558888,0.2211654009573682,23.14489781063722
84078A,SET/4 WHITE RETRO STORAGE CUBES,1114,43289.05,325,95,12,39.95,2009-12-07 15:26:00,2011-12-04 11:50:00,3.4276923076923076,0.21967256902055127,23.364570379657774
21175,GIN + TONIC DIET METAL SIGN,20356,43066.25,1615,97,15,2.1,2009-12-07 12:08:00,2011-12-04 15:19:00,12.604334365325077,0.21854195866116988,23.583112338318944
22383,LUNCH BAG SUKI  DESIGN,24946,42968.62,2378,97,17,1.65,2010-01-22 16:28:00,2011-12-04 15:19:00,10.490328006728344,0.2180465300732596,23.801158868392204
15056BL,EDWARDIAN PARASOL BLACK,8406,42922.82,827,102,14,5.95,2009-12-07 08:13:00,2011-12-02 13:21:00,10.164449818621524,0.21781411555593616,24.01897298394814
82494L,WOODEN FRAME ANTIQUE WHITE,14955,42820.39,1920,96,11,2.95,2009-12-07 08:13:00,2011-12-04 12:52:00,7.7890625,0.21729432911468197,24.23626731306282
21915,RED  HARMONICA IN BOX,36286,42660.79,1023,89,20,1.25,2010-03-17 10:22:00,2011-12-02 12:19:00,35.47018572825024,0.21648443049099583,24.45275174355382
23298,SPOTTY BUNTING,8370,42602.9,1124,31,16,4.95,2011-05-04 13:57:00,2011-12-04 13:59:00,7.44661921708185,0.2161906646305623,24.66894240818438
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,14375,42422.23,772,86,6,3.25,2009-12-07 13:23:00,2011-12-02 11:53:00,18.620466321243523,0.21527384517980183,24.884216253364183
20728,LUNCH BAG CARS BLUE,24357,41808.82,2025,102,22,1.65,2009-12-07 11:35:00,2011-12-04 15:19:00,12.028148148148148,0.2121610637590292,25.096377317123213
23203,JUMBO BAG VINTAGE DOILY,19954,40978.01,1200,31,15,2.08,2011-05-06 15:54:00,2011-12-04 16:07:00,16.628333333333334,0.20794507456388717,25.3043223916871
82482,WOODEN PICTURE FRAME WHITE FINISH,16551,40895.54,1949,93,14,2.55,2009-12-07 08:13:00,2011-12-04 12:52:00,8.492047203694202,0.20752657619612153,25.51184896788322
84029E,RED WOOLLY HOTTIE WHITE HEART.,10005,40770.85,1085,95,10,3.75,2009-12-07 09:42:00,2011-12-04 14:51:00,9.221198156682028,0.2068938302099848,25.718742798093206
20713,JUMBO BAG OWLS,20503,39973.21,1273,89,16,1.95,2009-12-07 15:26:00,2011-12-02 15:39:00,16.106048703849176,0.20284616393055496,25.921588962023762
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,10484,39199.57,1050,97,27,3.75,2009-12-07 12:26:00,2011-12-04 15:19:00,9.984761904761905,0.19892028691784483,26.120509248941605
22083,PAPER CHAIN KIT RETROSPOT,13000,38357.62,1340,102,18,2.95,2009-12-07 10:33:00,2011-12-02 16:39:00,9.701492537313433,0.19464776720473373,26.31515701614634
20726,LUNCH BAG WOODLAND,21845,37996.6,1882,102,20,1.65,2009-12-07 13:24:00,2011-12-04 13:32:00,11.607332624867162,0.19281575216010233,26.50797276830644
22699,ROSES REGENCY TEACUP AND SAUCER,12791,37336.37,1398,68,21,2.95,2010-08-11 15:46:00,2011-12-04 13:00:00,9.149499284692418,0.1894653801781707,26.69743814848461
22960,JAM MAKING SET WITH JARS,8801,37310.57,1132,53,26,4.25,2010-11-28 12:38:00,2011-12-04 14:55:00,7.774734982332156,0.18933445671644697,26.88677260520106
22629,SPACEBOY LUNCH BOX,20441,37303.619999999995,1344,74,21,1.95,2010-07-01 11:59:00,2011-12-04 13:54:00,15.209077380952381,0.18929918857462605,27.076071793775686
85066,CREAM SWEETHEART MINI CHEST,2980,37235.31,905,98,13,12.75,2009-12-07 11:46:00,2011-12-04 12:52:00,3.292817679558011,0.18895254587422505,27.265024339649912
22720,SET OF 3 CAKE TINS PANTRY DESIGN,7352,37232.200000000004,1358,49,22,4.95,2010-12-13 15:13:00,2011-12-02 16:39:00,5.4138438880706925,0.18893676401507933,27.45396110366499
21166,COOK WITH WINE METAL SIGN,19434,37141.96,1384,94,12,1.95,2009-12-08 15:49:00,2011-12-04 15:19:00,14.041907514450868,0.18847883637221316,27.642439940037203
23284,DOORMAT KEEP CALM AND COME IN,5363,37078.6,700,27,15,7.95,2011-04-27 12:57:00,2011-12-04 15:18:00,7.661428571428571,0.1881573127080731,27.830597252745275
20712,JUMBO BAG WOODLAND ANIMALS,17506,36959.91,1381,95,20,2.08,2009-12-07 13:24:00,2011-12-04 16:02:00,12.67632150615496,0.18755501403861632,28.01815226678389
82486,WOOD S/3 CABINET ANT WHITE FINISH,4587,36936.56,1241,102,8,7.95,2009-12-07 08:13:00,2011-12-04 15:35:00,3.69621273166801,0.18743652323120358,28.205588790015092
22328,ROUND SNACK BOXES SET OF 4 FRUITS,12871,35898.91,1148,98,19,2.95,2010-01-07 16:46:00,2011-12-02 14:48:00,11.211672473867596,0.18217091353904877,28.387759703554142
21485,RETROSPOT HEART HOT WATER BOTTLE,7316,35672.47,1311,98,18,4.95,2009-12-07 10:41:00,2011-12-04 13:54:00,5.58047292143402,0.1810218318075482,28.56878153536169
21524,DOORMAT SPOTTY HOME SWEET HOME,5189,35450.54,1125,102,21,7.95,2009-12-07 18:02:00,2011-12-04 11:45:00,4.612444444444445,0.1798956363090854,28.748677171670774
22379,RECYCLING BAG RETROSPOT,15717,34469.46,1558,96,16,2.1,2010-01-25 13:46:00,2011-12-04 16:07:00,10.08793324775353,0.1749170940676945,28.92359426573847
20724,RED RETROSPOT CHARLOTTE BAG,31351,34049.65,1990,102,19,0.85,2009-12-07 11:19:00,2011-12-04 16:07:00,15.754271356783919,0.17278674606512762,29.096381011803597
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,9136,34016.44,994,102,23,3.75,2009-12-07 12:26:00,2011-12-04 15:19:00,9.191146881287727,0.17261822016730421,29.268999231970902
21755,LOVE BUILDING BLOCK WORD,5503,33975.36,1656,102,14,5.95,2009-12-07 12:08:00,2011-12-04 13:32:00,3.3230676328502415,0.1724097575391023,29.441408989510006
22384,LUNCH BAG PINK POLKADOT,20689,33894.82,2088,96,23,1.65,2010-01-25 11:18:00,2011-12-04 15:19:00,9.90852490421456,0.17200105305820204,29.61341004256821
22382,LUNCH BAG SPACEBOY DESIGN,20148,33888.78,2135,97,23,1.65,2010-01-22 16:28:00,2011-12-04 15:19:00,9.437002341920374,0.17197040275941092,29.78538044532762
22727,ALARM CLOCK BAKELIKE RED,8297,33326.38,1326,62,22,3.75,2010-09-24 10:29:00,2011-12-04 14:51:00,6.257164404223228,0.16911647427594548,29.954496919603564
22630,DOLLY GIRL LUNCH BOX,17922,33103.89,1313,74,24,1.95,2010-07-01 16:48:00,2011-12-04 13:54:00,13.649657273419649,0.16798743702792593,30.12248435663149
15036,ASSORTED COLOURS SILK FAN,43921,32754.26,977,100,14,0.83,2009-12-07 11:19:00,2011-12-02 17:06:00,44.95496417604913,0.16621322113945863,30.288697577770947
22385,JUMBO BAG SPACEBOY DESIGN,16987,32277.65,1238,96,17,1.95,2010-01-29 13:46:00,2011-12-04 16:02:00,13.721324717285945,0.1637946385389884,30.452492216309935
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,8664,32223.32,926,100,27,3.75,2009-12-07 12:26:00,2011-12-01 18:03:00,9.356371490280777,0.16351893808645165,30.616011154396386
22666,RECIPE BOX PANTRY YELLOW DESIGN,10270,32186.780000000002,1630,73,23,2.95,2010-07-09 17:17:00,2011-12-04 14:01:00,6.300613496932515,0.1633335139278709,30.779344668324256
22726,ALARM CLOCK BAKELIKE GREEN,7426,31457.079999999998,1241,58,17,3.75,2010-09-24 10:29:00,2011-12-04 14:51:00,5.983883964544722,0.15963061276431342,30.93897528108857
22077,6 RIBBONS RUSTIC CHARM,17038,31038.769999999997,1718,93,22,1.65,2009-12-07 17:56:00,2011-12-04 12:52:00,9.917345750873109,0.15750787659091653,31.096483157679486
48184,DOORMAT ENGLISH ROSE,4633,30594.23,834,92,15,7.95,2009-12-08 15:12:00,2011-12-04 13:32:00,5.55515587529976,0.15525203489810055,31.251735192577588
22501,PICNIC BASKET WICKER LARGE,2612,30339.36,762,75,10,9.95,2010-05-21 16:37:00,2011-11-06 15:01:00,3.4278215223097113,0.15395868363106494,31.40569387620865
23199,JUMBO BAG APPLES,14765,30088.15,956,34,15,2.08,2011-04-11 16:47:00,2011-12-04 16:07:00,15.444560669456067,0.1526839052272041,31.558377781435855
22865,HAND WARMER OWL DESIGN,13906,30050.180000000004,1157,46,11,2.1,2010-09-10 13:59:00,2011-12-04 15:00:00,12.019014693171997,0.15249122445814797,31.710869005894004
23245,SET OF 3 REGENCY CAKE TINS,6156,29902.440000000002,844,26,24,4.95,2011-06-08 12:02:00,2011-12-04 15:18:00,7.293838862559242,0.15174151003043246,31.862610515924437
85152,HAND OVER THE CHOCOLATE   SIGN,15502,29744.760000000002,1423,99,11,2.1,2009-12-07 13:45:00,2011-12-04 15:19:00,10.893886156008433,0.1509413545480839,32.01355187047252
22697,GREEN REGENCY TEACUP AND SAUCER,9541,29611.23,1330,68,21,2.95,2010-08-11 15:46:00,2011-12-04 15:18:00,7.173684210526316,0.15026374951537208,32.16381561998789
22659,LUNCH BOX I LOVE LONDON,15894,29453.43,1061,75,18,1.95,2010-03-14 12:18:00,2011-12-04 13:32:00,14.980207351555137,0.14946298508668993,32.313278605074586
47590B,PINK HAPPY BIRTHDAY BUNTING,5733,29331.27,869,99,23,5.45,2009-12-07 11:35:00,2011-12-02 16:04:00,6.5972382048331415,0.14884307771908656,32.46212168279367
22622,BOX OF VINTAGE ALPHABET BLOCKS,2917,29108.82,562,82,17,9.95,2010-05-07 10:44:00,2011-12-01 12:39:00,5.190391459074733,0.14771424345317818,32.60983592624685
22158,3 HEARTS HANGING DECORATION RUSTIC,8882,28902.99,706,72,7,2.95,2009-12-14 17:16:00,2011-12-04 15:00:00,12.580736543909348,0.14666974825447318,32.75650567450133
21479,WHITE SKULL HOT WATER BOTTLE,5786,28838.47,857,57,9,3.75,2009-12-07 09:42:00,2011-12-04 14:51:00,6.751458576429405,0.14634233810910835,32.902848012610434
48188,DOORMAT WELCOME PUPPIES,4828,28313.0,679,101,14,7.95,2009-12-07 12:08:00,2011-11-29 13:12:00,7.110456553755522,0.1436758128598079,33.046523825470246
82483,WOOD 2 DRAWER CABINET WHITE FINISH,4736,28197.11,1091,93,7,5.95,2009-12-07 08:13:00,2011-12-04 15:35:00,4.340971585701191,0.14308772293813507,33.18961154840838
84978,HANGING HEART JAR T-LIGHT HOLDER,21446,28177.350000000002,1404,101,9,1.25,2009-12-07 11:35:00,2011-12-04 13:00:00,15.274928774928775,0.1429874497752025,33.332598998183585
21217,RED RETROSPOT ROUND CAKE TINS,2745,28093.199999999997,890,101,18,9.95,2009-12-07 11:46:00,2011-12-02 14:48:00,3.0842696629213484,0.14256042615876646,33.47515942434235
85014B,RED RETROSPOT UMBRELLA,5390,27911.820000000003,853,102,19,5.95,2009-12-07 08:13:00,2011-12-02 11:49:00,6.318874560375146,0.14164000377553224,33.616799428117886
82583,HOT BATHS METAL SIGN,12767,27678.7,1155,97,8,2.1,2009-12-07 10:33:00,2011-12-04 15:19:00,11.053679653679653,0.14045702403146135,33.75725645214935
21977,PACK OF 60 PINK PAISLEY CAKE CASES,55321,27671.5,1947,102,24,0.55,2009-12-07 10:33:00,2011-12-04 15:19:00,28.413456599897277,0.14042048725144543,33.897676939400796
22492,MINI PAINT SET VINTAGE,43326,27670.670000000002,726,82,23,0.65,2010-05-06 11:50:00,2011-12-02 13:58:00,59.67768595041322,0.14041627537263804,34.03809321477343
22467,GUMBALL COAT RACK,11697,27641.37,1075,76,19,2.55,2010-03-04 14:45:00,2011-12-04 13:20:00,10.88093023255814,0.14026759097618438,34.17836080574962
23201,JUMBO BAG ALPHABET,13206,27456.18,880,34,17,2.08,2011-04-11 16:47:00,2011-12-04 13:15:00,15.006818181818181,0.13932783454685838,34.31768864029648
22752,SET 7 BABUSHKA NESTING BOXES,3280,27350.800000000003,677,68,17,8.5,2010-08-06 15:02:00,2011-12-01 17:20:00,4.844903988183161,0.13879307817490322,34.45648171847139
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6303,27305.79,953,99,10,3.75,2009-12-07 13:52:00,2011-12-04 14:51:00,6.6138509968520465,0.13856467255427593,34.59504639102566
22188,BLACK HEART CARD HOLDER,10011,27274.170000000002,558,96,7,3.95,2009-12-14 17:57:00,2011-12-02 17:06:00,17.940860215053764,0.1384042151953727,34.733450606221034
22866,HAND WARMER SCOTTY DOG DESIGN,12305,27252.550000000003,1042,35,10,2.1,2010-09-10 13:59:00,2011-12-04 15:00:00,11.809021113243762,0.13829450336426938,34.871745109585305
20971,PINK BLUE FELT CRAFT TRINKET BOX,21036,27211.86,1116,102,16,1.25,2009-12-07 11:05:00,2011-12-04 15:00:00,18.849462365591396,0.13808801981165164,35.00983312939696
20719,WOODLAND CHARLOTTE BAG,24043,26980.48,1543,101,18,0.85,2009-12-07 10:41:00,2011-12-04 16:07:00,15.58198314970836,0.13691386978941794,35.14674699918638
22624,IVORY KITCHEN SCALES,3099,26761.13,1196,78,19,8.5,2010-05-04 10:02:00,2011-12-04 15:19:00,2.5911371237458196,0.1358007666371275,35.2825477658235
21930,JUMBO STORAGE BAG SKULLS,13056,26676.51,1286,102,11,1.95,2009-12-07 13:24:00,2011-12-04 13:59:00,10.152410575427682,0.1353713579808849,35.41791912380439
72741,GRAND CHOCOLATECANDLE,19298,26642.43,894,101,19,1.45,2009-12-07 15:55:00,2011-12-04 11:45:00,21.58612975391499,0.1351984172221429,35.55311754102653
84991,60 TEATIME FAIRY CAKE CASES,53277,26607.11,2077,102,22,0.55,2009-12-07 10:33:00,2011-12-04 15:19:00,25.650938854116514,0.13501918401795374,35.68813672504449
20679,EDWARDIAN PARASOL RED,5250,26598.79,683,101,15,5.95,2009-12-07 08:13:00,2011-12-04 15:00:00,7.686676427525622,0.13497696373882423,35.82311368878331
71459,HANGING JAM JAR T-LIGHT HOLDER,32713,26479.47,1002,101,10,0.85,2009-12-07 17:56:00,2011-12-01 16:22:00,32.647704590818364,0.13437146810111603,35.957485156884424
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,9687,26413.7,739,43,17,2.89,2010-09-16 11:40:00,2011-12-04 13:32:00,13.108254397834912,0.1340377147647762,36.0915228716492
23355,HOT WATER BOTTLE KEEP CALM,5384,26167.120000000003,725,15,13,4.95,2011-08-22 13:32:00,2011-12-04 15:00:00,7.426206896551724,0.13278643154028671,36.224309303189486
20750,RED RETROSPOT MINI CASES,3590,26118.37,877,101,25,7.95,2009-12-07 13:48:00,2011-12-04 13:55:00,4.0935005701254275,0.13253904709226225,36.35684835028175
22835,HOT WATER BOTTLE I AM SO POORLY,5148,26113.72,977,63,10,4.65,2010-09-12 14:58:00,2011-12-04 14:55:00,5.269191402251791,0.13251545042183532,36.489363800703586
47566B,TEA TIME PARTY BUNTING,5777,25691.89,753,88,13,4.65,2009-12-07 17:56:00,2011-12-04 13:20:00,7.671978751660027,0.13037485182265285,36.61973865252624
22551,PLASTERS IN TIN SPACEBOY,15242,25585.679999999997,1275,88,27,1.65,2010-03-25 12:41:00,2011-12-04 13:59:00,11.95450980392157,0.12983588357189027,36.74957453609813
48111,DOORMAT 3 SMILEY CATS,4186,25524.760000000002,702,100,11,7.95,2009-12-07 10:48:00,2011-12-04 11:45:00,5.962962962962963,0.12952674181653343,36.879101277914664
20711,JUMBO BAG TOYS,12512,25502.68,1043,102,14,2.08,2009-12-07 18:02:00,2011-12-01 16:22:00,11.996164908916587,0.12941469569115127,37.00851597360582
22507,MEMO BOARD RETROSPOT  DESIGN,5427,25388.94,887,90,15,4.95,2010-03-11 17:05:00,2011-12-04 13:00:00,6.118376550169109,0.1288375160579554,37.137353489663774
22149,FELTCRAFT 6 FLOWER FRIENDS,12286,25368.97,1361,97,18,2.1,2009-12-07 15:28:00,2011-11-10 18:46:00,9.027185892725937,0.12873617723893904,37.266089666902715
22961,JAM MAKING SET PRINTED,16321,25339.0,1172,54,26,1.45,2010-07-23 12:29:00,2011-12-04 11:24:00,13.925767918088738,0.1285840928921228,37.39467375979484
22087,PAPER BUNTING WHITE LACE,8389,25129.22,837,73,13,2.95,2009-12-07 12:19:00,2011-11-24 09:21:00,10.022700119474313,0.12751955320993685,37.52219331300478
82600,NO SINGING METAL SIGN,12340,25033.230000000003,1163,96,14,2.1,2009-12-07 12:18:00,2011-12-04 15:19:00,10.61049011177988,0.1270324468885858,37.64922575989336
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,40213,25025.59,1242,102,13,0.65,2009-12-07 11:35:00,2011-12-01 16:22:00,32.37761674718197,0.12699367730534666,37.77621943719871
