StockCode,description,quantity,revenue,invoices,active_weeks,countries,median_price,first_sale,last_sale,quantity_per_invoice,quantity_share_pct,quantity_cumulative_pct
21175,GIN + TONIC DIET METAL SIGN,20356,43066.25,1615,97,15,2.1,2009-12-07 12:08:00,2011-12-04 15:19:00,12.604334365325077,0.18822807072700273,23.220284912719357
20972,PINK CREAM FELT CRAFT TRINKET BOX,20216,24408.8,1356,102,18,1.25,2009-12-07 12:19:00,2011-12-04 14:40:00,14.908554572271386,0.18693351728321317,23.40721843000257
84598,BOYS ALPHABET IRON ON PATCHES,20163,4213.86,211,85,6,0.42,2009-12-08 15:49:00,2011-12-01 16:22:00,95.55924170616113,0.18644343633663568,23.593661866339204
22382,LUNCH BAG SPACEBOY DESIGN,20148,33888.78,2135,97,23,1.65,2010-01-22 16:28:00,2011-12-04 15:19:00,9.437002341920374,0.18630473418194393,23.77996660052115
23203,JUMBO BAG VINTAGE DOILY,19954,40978.01,1200,31,15,2.08,2011-05-06 15:54:00,2011-12-04 16:07:00,16.628333333333334,0.1845108529812641,23.964477453502415
22356,CHARLOTTE BAG PINK POLKADOT,19451,20210.01,1545,102,18,0.85,2009-12-07 11:35:00,2011-12-04 16:07:00,12.589644012944984,0.17985970739393448,24.14433716089635
21166,COOK WITH WINE METAL SIGN,19434,37141.96,1384,94,12,1.95,2009-12-08 15:49:00,2011-12-04 15:19:00,14.041907514450868,0.17970251161861717,24.324039672514967
21094,SET/6 RED SPOTTY PAPER PLATES,19418,15171.98,972,102,19,0.85,2009-12-10 09:49:00,2011-12-01 16:22:00,19.977366255144034,0.17955456265361264,24.50359423516858
72741,GRAND CHOCOLATECANDLE,19298,26642.43,894,101,19,1.45,2009-12-07 15:55:00,2011-12-04 11:45:00,21.58612975391499,0.17844494541607872,24.68203918058466
84836,ZINC METAL HEART DECORATION,19187,23488.87,1365,102,13,1.25,2009-12-07 11:20:00,2011-12-04 12:52:00,14.056410256410256,0.17741854947135985,24.859457730056018
20668,DISCO BALL CHRISTMAS DECORATION,19182,2249.68,345,72,7,0.12,2009-12-07 11:39:00,2011-12-04 14:45:00,55.6,0.17737231541979595,25.036830045475813
21231,SWEETHEART CERAMIC TRINKET BOX,18685,23135.04,1431,94,19,1.25,2009-12-07 08:24:00,2011-12-02 11:16:00,13.057302585604472,0.17277665069434298,25.209606696170155
84692,BOX OF 24 COCKTAIL PARASOLS,18608,9121.99,1100,102,13,0.42,2009-12-07 13:48:00,2011-12-04 12:32:00,16.916363636363638,0.17206464630025872,25.381671342470415
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,18393,51622.94,1980,102,19,2.95,2009-12-07 10:42:00,2011-12-04 13:20:00,9.289393939393939,0.17007658208301046,25.551747924553425
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,17998,56703.62,1374,49,12,2.95,2010-09-19 10:20:00,2011-12-04 14:51:00,13.098981077147016,0.16642409200946134,25.718172016562885
20723,STRAWBERRY CHARLOTTE BAG,17960,19814.04,1353,102,15,0.85,2009-12-07 09:18:00,2011-12-04 14:51:00,13.27420546932742,0.1660727132175756,25.884244729780463
22630,DOLLY GIRL LUNCH BOX,17922,33103.89,1313,74,24,1.95,2010-07-01 16:48:00,2011-12-04 13:54:00,13.649657273419649,0.16572133442568987,26.049966064206153
22470,HEART OF WICKER LARGE,17711,53294.83,1934,76,10,2.95,2010-04-22 12:12:00,2011-12-02 16:30:00,9.15770423991727,0.16377025744969273,26.213736321655844
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17644,20198.06,344,67,12,1.25,2010-08-05 15:01:00,2011-12-02 16:39:00,51.2906976744186,0.1631507211587363,26.37688704281458
22489,PACK OF 12 TRADITIONAL CRAYONS,17639,7428.67,771,83,20,0.42,2010-03-02 16:36:00,2011-12-04 13:45:00,22.878080415045396,0.16310448710717237,26.539991529921753
20975,12 PENCILS SMALL TUBE RED RETROSPOT,17636,11539.960000000001,864,87,16,0.65,2009-12-07 12:32:00,2011-12-04 13:59:00,20.412037037037038,0.16307674667623404,26.70306827659799
20712,JUMBO BAG WOODLAND ANIMALS,17506,36959.91,1381,95,20,2.08,2009-12-07 13:24:00,2011-12-04 16:02:00,12.67632150615496,0.1618746613355723,26.864942937933563
22585,PACK OF 6 BIRDY GIFT TAGS,17481,21866.57,1074,90,18,1.25,2010-03-10 12:51:00,2011-12-02 16:39:00,16.276536312849164,0.16164349107775272,27.026586429011317
21326,AGED GLASS SILVER T-LIGHT HOLDER,17202,11228.26,626,100,7,0.65,2009-12-07 11:35:00,2011-12-04 12:44:00,27.47923322683706,0.15906363100048637,27.185650060011803
22029,SPACEBOY BIRTHDAY CARD,17178,7109.05,1077,101,19,0.42,2009-12-07 18:02:00,2011-12-04 13:54:00,15.949860724233984,0.1588417075529796,27.344491767564783
21137,BLACK RECORD COVER FRAME,17119,59451.0,599,97,8,3.75,2009-12-07 12:08:00,2011-12-04 12:32:00,28.579298831385643,0.1582961457445254,27.50278791330931
21497,FANCY FONTS BIRTHDAY WRAP,17100,6822.0,476,98,11,0.42,2009-12-08 12:46:00,2011-12-04 15:18:00,35.924369747899156,0.15812045634858254,27.660908369657893
22077,6 RIBBONS RUSTIC CHARM,17038,31038.769999999997,1718,93,22,1.65,2009-12-07 17:56:00,2011-12-04 12:52:00,9.917345750873109,0.15754715410919004,27.81845552376708
21704,BAG 250g SWIRLY MARBLES,17007,13078.619999999999,545,96,12,0.85,2009-12-07 10:33:00,2011-12-04 10:56:00,31.205504587155964,0.15726050298949376,27.975716026756576
21791,VINTAGE HEADS AND TAILS CARD GAME,17004,22101.79,1258,102,23,1.25,2009-12-07 11:40:00,2011-12-04 13:45:00,13.516693163751988,0.15723276255855542,28.13294878931513
22385,JUMBO BAG SPACEBOY DESIGN,16987,32277.65,1238,96,17,1.95,2010-01-29 13:46:00,2011-12-04 16:02:00,13.721324717285945,0.1570755667832381,28.290024356098368
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,16981,16687.42,1057,101,16,0.95,2009-12-07 11:55:00,2011-12-04 13:20:00,16.06527909176916,0.15702008592136144,28.447044442019727
21733,RED HANGING HEART T-LIGHT HOLDER,16962,48619.22,1694,102,21,2.95,2009-12-07 08:13:00,2011-12-04 15:00:00,10.012987012987013,0.15684439652541857,28.603888838545146
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,16640,14823.24,1052,51,18,0.85,2010-09-16 16:15:00,2011-12-04 15:28:00,15.817490494296578,0.15386692360470255,28.75775576214985
21088,SET/6 FRUIT SALAD PAPER CUPS,16590,1811.3400000000001,134,58,7,0.19,2009-12-15 17:02:00,2011-11-28 13:26:00,123.80597014925372,0.15340458308906343,28.911160345238912
82482,WOODEN PICTURE FRAME WHITE FINISH,16551,40895.54,1949,93,14,2.55,2009-12-07 08:13:00,2011-12-04 12:52:00,8.492047203694202,0.15304395748686492,29.064204302725777
22090,PAPER BUNTING RETROSPOT,16543,49971.43,1685,102,20,2.95,2009-12-07 12:41:00,2011-12-04 16:07:00,9.81780415430267,0.15296998300436265,29.217174285730138
16156S,WRAP PINK FAIRY CAKES,16536,6506.12,414,95,14,0.42,2009-12-10 07:43:00,2011-12-02 10:22:00,39.94202898550725,0.15290525533217317,29.37007954106231
21086,SET/6 RED SPOTTY PAPER CUPS,16494,10675.210000000001,832,96,18,0.65,2009-12-08 12:05:00,2011-12-02 16:04:00,19.82451923076923,0.15251688929903628,29.522596430361347
22961,JAM MAKING SET PRINTED,16321,25339.0,1172,54,26,1.45,2010-07-23 12:29:00,2011-12-04 11:24:00,13.925767918088738,0.1509171911149249,29.67351362147627
22294,HEART FILIGREE DOVE  SMALL,16000,19826.32,830,101,11,1.25,2009-12-07 11:40:00,2011-12-01 15:56:00,19.27710843373494,0.14794896500452168,29.82146258648079
21096,SET/6 FRUIT SALAD  PAPER PLATES,15917,2710.05,142,58,8,0.83,2009-12-10 13:59:00,2011-11-20 11:56:00,112.09154929577464,0.14718147974856075,29.968644066229352
22659,LUNCH BOX I LOVE LONDON,15894,29453.43,1061,75,18,1.95,2010-03-14 12:18:00,2011-12-04 13:32:00,14.980207351555137,0.14696880311136673,30.11561286934072
22379,RECYCLING BAG RETROSPOT,15717,34469.46,1558,96,16,2.1,2010-01-25 13:46:00,2011-12-04 16:07:00,10.08793324775353,0.1453321176860042,30.260944987026722
21500,PINK POLKADOT WRAP,15575,6293.5,483,99,19,0.42,2009-12-08 18:07:00,2011-12-02 12:52:00,32.2463768115942,0.14401907062158908,30.40496405764831
22189,CREAM HEART CARD HOLDER,15516,46866.3,1257,94,12,3.95,2009-12-07 10:33:00,2011-12-04 12:52:00,12.343675417661098,0.14347350881313492,30.548437566461445
85152,HAND OVER THE CHOCOLATE   SIGN,15502,29744.760000000002,1423,99,11,2.1,2009-12-07 13:45:00,2011-12-04 15:19:00,10.893886156008433,0.14334405346875595,30.6917816199302
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,15478,18296.32,656,101,5,1.25,2009-12-07 11:05:00,2011-12-04 14:55:00,23.59451219512195,0.14312213002124918,30.83490374995145
79321,CHILLI LIGHTS,15447,78292.91,1099,95,10,4.95,2009-12-07 08:24:00,2011-12-02 16:39:00,14.055505004549591,0.1428354789015529,30.977739228853004
40016,CHINESE DRAGON PAPER LANTERNS,15410,5468.58,242,85,6,0.42,2009-12-07 13:48:00,2011-09-21 14:40:00,63.67768595041322,0.14249334691997995,31.120232575772985
85175,CACTI T-LIGHT CANDLES,15341,6498.3099999999995,435,92,11,0.42,2009-12-09 10:41:00,2011-11-28 11:18:00,35.266666666666666,0.14185531700839796,31.262087892781384
22551,PLASTERS IN TIN SPACEBOY,15242,25585.679999999997,1275,88,27,1.65,2010-03-25 12:41:00,2011-12-04 13:59:00,11.95450980392157,0.14093988278743247,31.403027775568816
22326,ROUND SNACK BOXES SET OF4 WOODLAND,15213,43583.23,1367,94,24,2.95,2010-01-07 16:46:00,2011-12-02 16:39:00,11.12874908558888,0.14067172528836178,31.543699500857176
16033,MINI HIGHLIGHTER PENS,15121,1544.52,50,36,6,0.12,2009-12-10 12:44:00,2011-02-17 15:40:00,302.42,0.13982101873958577,31.68352051959676
21787,RAIN PONCHO RETROSPOT,15097,11882.86,461,85,13,0.85,2010-03-25 14:22:00,2011-12-04 14:55:00,32.748373101952275,0.139599095292079,31.823119614888842
21121,SET/10 RED POLKADOT PARTY CANDLES,14981,18148.88,857,102,20,1.25,2009-12-07 15:42:00,2011-12-04 11:45:00,17.480746791131857,0.1385264652957962,31.96164608018464
82494L,WOODEN FRAME ANTIQUE WHITE,14955,42820.39,1920,96,11,2.95,2009-12-07 08:13:00,2011-12-04 12:52:00,7.7890625,0.13828604822766385,32.099932128412306
21210,SET OF 72 RETROSPOT PAPER  DOILIES,14865,21333.37,1131,95,25,1.45,2009-12-07 10:42:00,2011-12-02 16:39:00,13.143236074270558,0.13745383529951344,32.237385963711816
23199,JUMBO BAG APPLES,14765,30088.15,956,34,15,2.08,2011-04-11 16:47:00,2011-12-04 16:07:00,15.444560669456067,0.13652915426823517,32.373915117980054
21829,DINOSAUR KEYRINGS ASSORTED,14703,3170.7,399,95,13,0.21,2009-12-07 11:47:00,2011-10-20 12:07:00,36.849624060150376,0.13595585202884264,32.5098709700089
21499,BLUE POLKADOT WRAP,14702,5912.84,449,95,19,0.42,2009-12-08 18:07:00,2011-12-02 10:22:00,32.74387527839644,0.13594660521852986,32.645817575227426
22457,NATURAL SLATE HEART CHALKBOARD,14591,45061.770000000004,2018,85,15,2.95,2010-03-04 10:29:00,2011-12-04 15:13:00,7.230426164519326,0.134920209273811,32.780737784501234
22045,SPACEBOY GIFT WRAP,14392,5918.64,467,97,19,0.42,2009-12-07 10:51:00,2011-12-02 10:22:00,30.817987152034263,0.13308009402156726,32.9138178785228
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,14375,42422.23,772,86,6,3.25,2009-12-07 13:23:00,2011-12-02 11:53:00,18.620466321243523,0.13292289824624995,33.04674077676905
21976,PACK OF 60 MUSHROOM CAKE CASES,14361,7667.1900000000005,932,102,24,0.55,2009-12-07 13:32:00,2011-12-04 11:45:00,15.408798283261802,0.132793442901871,33.17953421967092
21918,SET 12 KIDS COLOUR  CHALK STICKS,14325,5891.55,762,102,20,0.42,2009-12-07 11:40:00,2011-12-04 13:59:00,18.799212598425196,0.13246055773061083,33.31199477740153
22969,HOMEMADE JAM SCENTED CANDLES,14307,21216.129999999997,697,54,20,1.45,2010-11-21 11:28:00,2011-12-04 15:18:00,20.526542324246773,0.13229411514498074,33.44428889254651
21703,BAG 125g SWIRLY MARBLES,14284,5529.1900000000005,543,101,12,0.42,2009-12-07 17:56:00,2011-12-04 13:32:00,26.30570902394107,0.13208143850778675,33.5763703310543
75049L,LARGE CIRCULAR MIRROR MOBILE,13914,13086.3,339,79,1,1.25,2009-12-09 11:40:00,2011-12-02 12:52:00,41.04424778761062,0.12866011869205718,33.70503044974636
22865,HAND WARMER OWL DESIGN,13906,30050.180000000004,1157,46,11,2.1,2010-09-10 13:59:00,2011-12-04 15:00:00,12.019014693171997,0.12858614420955491,33.83361659395592
22560,TRADITIONAL MODELLING CLAY,13888,16803.3,730,88,12,1.25,2010-03-25 12:41:00,2011-12-04 13:32:00,19.024657534246575,0.12841970162392483,33.96203629557984
21877,HOME SWEET HOME MUG,13775,15576.960000000001,727,100,13,1.25,2009-12-08 13:38:00,2011-12-02 12:36:00,18.947730398899587,0.1273748120585804,34.089411107638426
21085,SET/6 WOODLAND PAPER CUPS,13704,1854.0800000000002,63,22,8,0.65,2009-12-08 16:09:00,2010-07-12 12:44:00,217.52380952380952,0.12671828852637282,34.216129396164796
21091,SET/6 WOODLAND PAPER PLATES,13686,1855.95,44,13,8,0.85,2009-12-08 16:09:00,2010-03-18 12:47:00,311.04545454545456,0.12655184594074273,34.34268124210554
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,13660,6975.579999999999,812,63,13,0.85,2010-07-18 11:31:00,2011-12-04 15:28:00,16.822660098522167,0.1263114288726104,34.46899267097815
37340,MULTICOLOUR SPRING FLOWER MUG,13622,3810.08,196,82,5,0.85,2009-12-07 18:02:00,2011-11-30 15:33:00,69.5,0.12596005008072467,34.59495272105888
22558,CLOTHES PEGS RETROSPOT PACK 24,13555,19114.43,1186,70,17,1.49,2010-04-14 13:39:00,2011-12-04 12:52:00,11.429173693086003,0.1253405137897682,34.72029323484865
22297,HEART IVORY TRELLIS SMALL,13526,17451.41,949,102,9,1.25,2009-12-07 11:05:00,2011-12-04 14:01:00,14.252897787144363,0.12507235629069752,34.84536559113934
22554,PLASTERS IN TIN WOODLAND ANIMALS,13477,22649.249999999996,1254,87,25,1.65,2010-03-25 12:43:00,2011-12-04 13:59:00,10.747208931419458,0.12461926258537118,34.96998485372471
