StockCode,Week,quantity,revenue,invoices
10123C,2010-09-13/2010-09-19,24,15.600000000000001,2
10123C,2010-09-27/2010-10-03,145,9.290000000000001,2
10123C,2010-10-11/2010-10-17,1,0.65,1
10123C,2010-10-18/2010-10-24,1,0.65,1
10123C,2010-10-25/2010-10-31,1,0.65,1
10123C,2010-11-01/2010-11-07,16,10.400000000000002,3
10123C,2010-11-15/2010-11-21,6,3.9000000000000004,3
10123C,2010-11-29/2010-12-05,1,0.65,1
10123C,2011-02-28/2011-03-06,3,1.9500000000000002,1
10123C,2011-03-28/2011-04-03,1,0.65,1
10123G,2010-07-12/2010-07-18,6,3.9000000000000004,2
10123G,2010-07-26/2010-08-01,12,7.800000000000001,1
10123G,2010-08-09/2010-08-15,1104,66.24,1
10123G,2010-09-27/2010-10-03,1105,66.89,2
10123G,2010-10-25/2010-10-31,1,0.65,1
10123G,2010-11-01/2010-11-07,9,6.86,4
10123G,2010-11-08/2010-11-14,1,1.66,1
10123G,2010-11-15/2010-11-21,1,0.65,1
10123G,2010-11-22/2010-11-28,1,1.66,1
10123G,2010-11-29/2010-12-05,9,5.8500000000000005,1
10124A,2010-03-15/2010-03-21,3,1.26,1
10124A,2010-04-05/2010-04-11,1,0.42,1
10124A,2010-05-31/2010-06-06,3,1.26,1
10124A,2010-06-28/2010-07-04,2,0.84,1
10124A,2010-08-09/2010-08-15,5,2.1,1
10124A,2010-09-06/2010-09-12,9,3.7800000000000002,2
10124A,2010-09-13/2010-09-19,9,3.78,1
10124A,2010-09-20/2010-09-26,3,1.26,1
10124A,2010-09-27/2010-10-03,1,0.42,1
10124A,2010-10-18/2010-10-24,3,1.26,1
10124A,2010-11-15/2010-11-21,3,1.26,2
10124A,2010-12-06/2010-12-12,4,1.68,1
10124A,2011-02-07/2011-02-13,3,1.26,1
10124A,2011-03-14/2011-03-20,4,1.68,1
10124A,2011-03-21/2011-03-27,1,0.42,1
10124A,2011-10-31/2011-11-06,4,1.68,1
10124G,2010-05-10/2010-05-16,1,0.84,1
10124G,2010-05-17/2010-05-23,1,0.42,1
10124G,2010-05-31/2010-06-06,3,1.26,1
10124G,2010-08-09/2010-08-15,5,2.1,1
10124G,2010-09-06/2010-09-12,4,1.68,1
10124G,2010-09-27/2010-10-03,2,0.84,1
10124G,2010-11-29/2010-12-05,5,2.1,1
10124G,2011-03-14/2011-03-20,4,1.68,1
10124G,2011-09-26/2011-10-02,4,1.68,1
10124G,2011-10-31/2011-11-06,4,1.68,1
10125,2009-12-07/2009-12-13,44,37.4,4
10125,2009-12-14/2009-12-20,24,22.950000000000003,3
10125,2010-01-11/2010-01-17,2,3.32,1
10125,2010-01-18/2010-01-24,1,1.66,1
10125,2010-02-01/2010-02-07,2,1.7,1
10125,2010-02-08/2010-02-14,2,3.32,2
10125,2010-02-15/2010-02-21,41,35.66,3
10125,2010-03-01/2010-03-07,40,34.0,2
10125,2010-03-08/2010-03-14,20,17.0,1
10125,2010-03-15/2010-03-21,2,3.32,1
10125,2010-03-22/2010-03-28,6,5.1,1
10125,2010-03-29/2010-04-04,42,53.519999999999996,2
10125,2010-04-05/2010-04-11,20,17.0,1
10125,2010-05-10/2010-05-16,20,17.0,1
10125,2010-06-07/2010-06-13,21,17.85,2
10125,2010-06-14/2010-06-20,22,19.51,3
10125,2010-06-21/2010-06-27,21,17.85,2
10125,2010-06-28/2010-07-04,20,17.0,1
10125,2010-07-05/2010-07-11,2,1.7,1
10125,2010-07-12/2010-07-18,3,2.55,1
10125,2010-07-19/2010-07-25,60,51.0,2
10125,2010-07-26/2010-08-01,20,17.0,1
10125,2010-08-30/2010-09-05,20,17.0,1
10125,2010-09-06/2010-09-12,4,3.4,1
10125,2010-09-13/2010-09-19,21,17.85,2
10125,2010-09-20/2010-09-26,20,17.0,1
10125,2010-10-04/2010-10-10,20,17.0,1
10125,2010-10-11/2010-10-17,27,24.57,5
10125,2010-10-18/2010-10-24,42,35.7,3
10125,2010-10-25/2010-10-31,31,26.349999999999998,5
10125,2010-11-01/2010-11-07,42,35.7,3
10125,2010-11-08/2010-11-14,21,18.66,2
10125,2010-11-15/2010-11-21,44,39.83,5
10125,2010-11-22/2010-11-28,22,20.32,2
10125,2010-11-29/2010-12-05,2,1.7,1
10125,2010-12-06/2010-12-12,43,38.17,4
10125,2010-12-13/2010-12-19,102,45.32,5
10125,2010-12-20/2010-12-26,7,5.67,1
10125,2011-01-03/2011-01-09,98,48.18,7
10125,2011-01-10/2011-01-16,79,40.43000000000001,11
10125,2011-01-17/2011-01-23,36,21.040000000000003,10
10125,2011-02-28/2011-03-06,23,20.33,3
10125,2011-03-21/2011-03-27,25,22.029999999999998,3
10125,2011-03-28/2011-04-03,66,56.1,5
10125,2011-04-04/2011-04-10,21,17.85,2
10125,2011-04-11/2011-04-17,40,34.0,2
10125,2011-04-18/2011-04-24,20,17.0,1
10125,2011-04-25/2011-05-01,1,0.85,1
10125,2011-05-02/2011-05-08,5,4.25,3
10125,2011-05-09/2011-05-15,100,85.0,1
10125,2011-05-16/2011-05-22,2,1.7,2
10125,2011-05-30/2011-06-05,1,0.85,1
10125,2011-06-06/2011-06-12,12,10.2,1
10125,2011-06-20/2011-06-26,2,3.26,1
10125,2011-06-27/2011-07-03,4,3.4,1
10125,2011-07-04/2011-07-10,27,23.73,4
10125,2011-07-11/2011-07-17,25,21.25,2
10125,2011-07-18/2011-07-24,120,102.0,2
10125,2011-08-08/2011-08-14,40,34.0,1
10125,2011-08-15/2011-08-21,20,17.0,1
10125,2011-08-22/2011-08-28,25,21.25,2
10125,2011-09-05/2011-09-11,20,17.0,1
10125,2011-09-26/2011-10-02,197,167.45,4
10125,2011-10-03/2011-10-09,4,4.18,2
10125,2011-10-17/2011-10-23,20,17.0,1
10125,2011-10-24/2011-10-30,20,17.0,1
10125,2011-10-31/2011-11-06,2,1.7,1
10125,2011-11-14/2011-11-20,60,51.0,1
10125,2011-11-28/2011-12-04,6,5.1,1
10133,2009-12-07/2009-12-13,48,40.800000000000004,5
10133,2009-12-14/2009-12-20,21,17.85,3
10133,2010-01-04/2010-01-10,150,108.0,1
10133,2010-01-18/2010-01-24,2,2.51,2
10133,2010-01-25/2010-01-31,10,8.5,1
10133,2010-02-15/2010-02-21,52,49.06,5
10133,2010-02-22/2010-02-28,50,42.5,2
10133,2010-03-01/2010-03-07,6,5.1,2
10133,2010-03-08/2010-03-14,16,18.459999999999997,3
10133,2010-03-15/2010-03-21,10,8.5,1
10133,2010-03-22/2010-03-28,6,5.1,2
10133,2010-03-29/2010-04-04,3,2.55,1
10133,2010-04-05/2010-04-11,20,17.0,2
10133,2010-04-12/2010-04-18,1,0.85,1
10133,2010-04-19/2010-04-25,10,7.199999999999999,1
10133,2010-04-26/2010-05-02,14,11.9,2
10133,2010-05-03/2010-05-09,6,9.959999999999999,1
10133,2010-05-10/2010-05-16,60,51.0,4
10133,2010-05-24/2010-05-30,20,15.7,2
10133,2010-06-14/2010-06-20,10,8.5,1
10133,2010-06-21/2010-06-27,20,17.0,1
10133,2010-07-05/2010-07-11,20,17.0,1
10133,2010-07-12/2010-07-18,42,35.7,4
10133,2010-07-19/2010-07-25,10,8.5,1
10133,2010-08-02/2010-08-08,14,11.9,2
10133,2010-08-09/2010-08-15,20,17.0,1
10133,2010-08-16/2010-08-22,27,22.95,3
10133,2010-08-30/2010-09-05,4,3.4,1
10133,2010-09-06/2010-09-12,15,14.370000000000001,3
10133,2010-09-13/2010-09-19,2,3.32,1
10133,2010-09-27/2010-10-03,32,27.2,3
10133,2010-10-04/2010-10-10,50,42.5,2
10133,2010-10-11/2010-10-17,17,14.450000000000001,3
10133,2010-10-18/2010-10-24,4,3.4,1
10133,2010-10-25/2010-10-31,31,26.35,4
10133,2010-11-01/2010-11-07,27,23.759999999999998,4
10133,2010-11-15/2010-11-21,36,30.6,4
10133,2010-11-22/2010-11-28,5,5.869999999999999,3
10133,2010-11-29/2010-12-05,25,22.06,6
10133,2010-12-06/2010-12-12,14,11.9,3
10133,2010-12-13/2010-12-19,80,42.2,5
10133,2010-12-20/2010-12-26,16,13.36,2
10133,2011-01-03/2011-01-09,11,8.91,5
10133,2011-01-10/2011-01-16,67,45.95,8
10133,2011-01-17/2011-01-23,92,50.480000000000004,7
10133,2011-01-24/2011-01-30,10,8.5,1
10133,2011-02-07/2011-02-13,10,8.5,1
10133,2011-02-14/2011-02-20,10,8.5,1
10133,2011-02-21/2011-02-27,14,11.9,2
10133,2011-02-28/2011-03-06,56,49.16,6
10133,2011-03-07/2011-03-13,2,1.7,1
10133,2011-03-28/2011-04-03,30,25.5,2
10133,2011-04-04/2011-04-10,1,1.63,1
10133,2011-04-11/2011-04-17,70,59.5,1
10133,2011-04-18/2011-04-24,5,4.25,1
10133,2011-05-02/2011-05-08,11,9.35,2
10133,2011-05-09/2011-05-15,20,17.0,1
10133,2011-05-16/2011-05-22,2,1.7,1
10133,2011-05-30/2011-06-05,21,14.329999999999998,3
10133,2011-06-06/2011-06-12,174,73.49000000000001,12
10133,2011-06-13/2011-06-19,132,62.0,11
10133,2011-06-20/2011-06-26,122,63.12,11
10133,2011-06-27/2011-07-03,110,67.52,7
10133,2011-07-04/2011-07-10,202,109.44,17
10133,2011-07-11/2011-07-17,215,100.14,15
10133,2011-07-18/2011-07-24,219,107.97,7
10133,2011-07-25/2011-07-31,160,84.83,11
10133,2011-08-01/2011-08-07,170,79.6,8
10133,2011-08-08/2011-08-14,92,68.16,3
10133,2011-08-15/2011-08-21,245,102.9,9
10133,2011-08-22/2011-08-28,215,90.3,7
10133,2011-08-29/2011-09-04,208,105.39999999999999,17
10133,2011-09-05/2011-09-11,30,12.600000000000001,2
10134,2009-12-07/2009-12-13,15,18.75,2
10134,2009-12-14/2009-12-20,15,20.07,4
10134,2010-01-04/2010-01-10,200,212.0,1
10134,2010-01-18/2010-01-24,1,2.51,1
10134,2010-01-25/2010-01-31,14,17.5,2
10134,2010-02-15/2010-02-21,20,25.0,2
10134,2010-02-22/2010-02-28,13,16.25,3
10134,2010-03-01/2010-03-07,1,1.25,1
10134,2010-03-08/2010-03-14,30,37.5,2
10134,2010-03-15/2010-03-21,20,25.0,2
10134,2010-03-22/2010-03-28,3,3.75,2
10134,2010-03-29/2010-04-04,10,12.5,1
10134,2010-04-12/2010-04-18,11,13.75,2
10134,2010-04-19/2010-04-25,8,10.0,3
10134,2010-05-10/2010-05-16,10,12.5,1
10134,2010-06-07/2010-06-13,14,17.5,2
10134,2010-06-28/2010-07-04,3,3.75,1
10134,2010-07-12/2010-07-18,3,3.75,2
10134,2010-07-26/2010-08-01,10,12.5,1
10134,2010-08-02/2010-08-08,12,15.0,2
10134,2010-08-09/2010-08-15,130,137.8,1
10134,2010-09-06/2010-09-12,1,1.25,1
10134,2010-09-13/2010-09-19,2,2.5,1
10134,2010-10-04/2010-10-10,10,12.5,1
10134,2010-10-11/2010-10-17,16,20.0,3
10134,2010-10-18/2010-10-24,2,2.5,1
10134,2010-11-01/2010-11-07,25,31.25,2
10134,2010-11-08/2010-11-14,3,3.75,2
10135,2009-12-07/2009-12-13,26,32.5,3
10135,2009-12-14/2009-12-20,33,55.769999999999996,10
10135,2009-12-21/2009-12-27,3,7.709999999999999,1
10135,2010-01-04/2010-01-10,11,13.75,2
10135,2010-01-11/2010-01-17,12,15.0,2
10135,2010-01-18/2010-01-24,11,13.75,2
10135,2010-01-25/2010-01-31,14,17.5,2
10135,2010-02-01/2010-02-07,45,53.71,5
10135,2010-02-08/2010-02-14,31,38.75,3
10135,2010-02-15/2010-02-21,50,62.5,4
10135,2010-02-22/2010-02-28,742,794.5,5
10135,2010-03-01/2010-03-07,1,1.25,1
10135,2010-03-08/2010-03-14,37,47.51,4
10135,2010-03-15/2010-03-21,20,25.0,2
10135,2010-03-22/2010-03-28,20,25.0,2
10135,2010-03-29/2010-04-04,23,28.75,3
10135,2010-04-05/2010-04-11,1,2.51,1
10135,2010-04-12/2010-04-18,11,13.75,2
10135,2010-04-19/2010-04-25,23,30.009999999999998,5
10135,2010-04-26/2010-05-02,35,43.6,3
10135,2010-05-10/2010-05-16,10,12.5,1
10135,2010-05-17/2010-05-23,103,109.75,2
10135,2010-05-24/2010-05-30,20,25.0,1
10135,2010-06-07/2010-06-13,30,37.5,3
10135,2010-06-14/2010-06-20,20,25.0,2
10135,2010-06-21/2010-06-27,20,25.0,1
10135,2010-06-28/2010-07-04,23,28.75,3
10135,2010-07-12/2010-07-18,23,28.75,2
10135,2010-07-26/2010-08-01,14,17.5,2
10135,2010-08-09/2010-08-15,10,12.5,1
10135,2010-08-16/2010-08-22,40,50.0,4
10135,2010-08-23/2010-08-29,20,25.0,2
10135,2010-08-30/2010-09-05,11,13.75,2
10135,2010-09-06/2010-09-12,1,1.25,1
10135,2010-09-13/2010-09-19,11,13.75,2
10135,2010-09-20/2010-09-26,2,5.02,1
10135,2010-09-27/2010-10-03,20,25.0,2
10135,2010-10-04/2010-10-10,15,18.75,6
10135,2010-10-11/2010-10-17,35,43.75,5
10135,2010-10-18/2010-10-24,13,16.25,3
10135,2010-10-25/2010-10-31,21,27.509999999999998,3
10135,2010-11-01/2010-11-07,172,196.0,8
10135,2010-11-08/2010-11-14,58,72.5,6
10135,2010-11-15/2010-11-21,31,42.53,7
10135,2010-11-22/2010-11-28,54,73.8,8
10135,2010-11-29/2010-12-05,33,43.769999999999996,6
10135,2010-12-06/2010-12-12,28,51.379999999999995,8
10135,2010-12-13/2010-12-19,306,141.06,13
10135,2010-12-20/2010-12-26,54,55.31,5
10135,2011-01-03/2011-01-09,225,150.4,13
10135,2011-01-10/2011-01-16,116,96.58000000000001,11
10135,2011-01-17/2011-01-23,260,225.4,16
10135,2011-01-24/2011-01-30,12,15.0,2
10135,2011-01-31/2011-02-06,1,2.46,1
10135,2011-02-07/2011-02-13,1,2.46,1
10135,2011-02-14/2011-02-20,51,48.36,5
10135,2011-02-21/2011-02-27,216,239.26,4
10135,2011-02-28/2011-03-06,24,30.0,4
10135,2011-03-07/2011-03-13,2,2.5,1
10135,2011-03-14/2011-03-20,92,65.2,3
10135,2011-03-21/2011-03-27,2,2.5,1
10135,2011-03-28/2011-04-03,18,23.71,4
10135,2011-04-11/2011-04-17,10,12.5,1
10135,2011-04-18/2011-04-24,3,3.75,1
10135,2011-05-02/2011-05-08,5,12.3,1
10135,2011-05-16/2011-05-22,8,10.0,2
10135,2011-05-30/2011-06-05,11,13.75,2
10135,2011-06-06/2011-06-12,10,12.5,1
10135,2011-06-13/2011-06-19,11,13.75,2
10135,2011-06-20/2011-06-26,23,28.75,3
10135,2011-06-27/2011-07-03,100,125.0,1
10135,2011-07-04/2011-07-10,12,15.0,2
10135,2011-07-11/2011-07-17,45,56.25,4
10135,2011-07-18/2011-07-24,10,12.5,1
10135,2011-07-25/2011-07-31,10,12.5,1
10135,2011-08-01/2011-08-07,101,107.25,2
10135,2011-08-15/2011-08-21,40,50.0,1
10135,2011-08-22/2011-08-28,10,12.5,1
10135,2011-08-29/2011-09-04,10,12.5,1
10135,2011-09-05/2011-09-11,10,12.5,1
10135,2011-09-12/2011-09-18,20,26.21,3
10135,2011-09-19/2011-09-25,25,37.3,3
10135,2011-09-26/2011-10-02,5,11.09,3
10135,2011-10-03/2011-10-09,5,12.3,1
10135,2011-10-10/2011-10-16,5,11.09,3
10135,2011-10-17/2011-10-23,21,27.46,2
10135,2011-10-24/2011-10-30,33,41.25,5
10135,2011-10-31/2011-11-06,47,27.59,6
10135,2011-11-07/2011-11-13,36,52.26,5
10135,2011-11-14/2011-11-20,35,61.9,3
10135,2011-11-21/2011-11-27,37,41.09,7
10135,2011-11-28/2011-12-04,61,89.56,5
10138,2009-12-07/2009-12-13,19,7.98,2
10138,2009-12-14/2009-12-20,2,1.66,2
10138,2010-01-11/2010-01-17,15,7.08,3
10138,2010-02-01/2010-02-07,24,10.08,2
10138,2010-02-15/2010-02-21,12,5.04,1
10138,2010-03-22/2010-03-28,1,0.42,1
10138,2010-03-29/2010-04-04,21,8.82,3
10138,2010-04-19/2010-04-25,12,5.04,1
11001,2009-12-07/2009-12-13,43,76.15,7
11001,2009-12-14/2009-12-20,86,148.82,7
11001,2010-01-04/2010-01-10,18,30.419999999999998,2
11001,2010-01-18/2010-01-24,65,109.85,2
11001,2010-02-08/2010-02-14,16,27.04,1
11001,2010-02-15/2010-02-21,1,1.69,1
11001,2010-03-01/2010-03-07,16,27.04,1
11001,2010-03-08/2010-03-14,16,27.04,1
11001,2010-03-15/2010-03-21,2,3.38,2
11001,2010-03-22/2010-03-28,18,33.76,2
11001,2010-04-12/2010-04-18,16,27.04,1
11001,2010-04-19/2010-04-25,53,97.92,5
11001,2010-04-26/2010-05-02,1,3.36,1
11001,2010-05-03/2010-05-09,38,64.22,2
11001,2010-05-10/2010-05-16,627,858.0300000000001,5
11001,2010-05-17/2010-05-23,32,54.08,2
11001,2010-05-24/2010-05-30,16,27.04,1
11001,2010-05-31/2010-06-06,16,27.04,1
11001,2010-06-07/2010-06-13,68,106.52,4
11001,2010-06-14/2010-06-20,64,108.16,3
11001,2010-06-21/2010-06-27,33,55.769999999999996,3
11001,2010-06-28/2010-07-04,23,38.87,3
11001,2010-07-05/2010-07-11,16,27.04,1
11001,2010-07-26/2010-08-01,32,54.08,2
11001,2010-08-02/2010-08-08,54,91.25999999999999,4
11001,2010-08-09/2010-08-15,16,27.04,1
11001,2010-08-16/2010-08-22,16,27.04,1
11001,2010-08-23/2010-08-29,128,216.32,1
11001,2010-08-30/2010-09-05,152,256.88,3
11001,2010-09-06/2010-09-12,1,1.69,1
11001,2010-09-13/2010-09-19,55,92.95,6
11001,2010-09-20/2010-09-26,20,33.8,3
11001,2010-09-27/2010-10-03,369,524.48,8
11001,2010-10-04/2010-10-10,209,353.21,9
11001,2010-10-11/2010-10-17,356,502.51000000000005,6
11001,2010-10-18/2010-10-24,49,82.81,3
11001,2010-10-25/2010-10-31,65,109.85,5
11001,2010-11-01/2010-11-07,132,186.67,6
11001,2010-11-08/2010-11-14,48,81.12,3
11001,2010-11-15/2010-11-21,64,108.16,4
11001,2010-11-22/2010-11-28,71,126.67,7
11001,2010-11-29/2010-12-05,39,70.91999999999999,4
11001,2010-12-06/2010-12-12,35,62.489999999999995,5
11001,2010-12-13/2010-12-19,19,35.45,3
11001,2010-12-20/2010-12-26,1,3.36,1
11001,2011-01-03/2011-01-09,32,54.08,2
11001,2011-01-10/2011-01-16,1,3.36,1
11001,2011-02-07/2011-02-13,10,32.9,1
11001,2011-02-14/2011-02-20,16,27.04,1
11001,2011-03-07/2011-03-13,1,3.29,1
11001,2011-03-14/2011-03-20,2,6.58,1
11001,2011-03-21/2011-03-27,1,1.69,1
11001,2011-03-28/2011-04-03,64,108.16,3
11001,2011-04-04/2011-04-10,3,5.07,1
11001,2011-04-11/2011-04-17,1,1.69,1
11001,2011-04-18/2011-04-24,16,27.04,1
11001,2011-05-02/2011-05-08,32,54.08,1
11001,2011-05-09/2011-05-15,16,27.04,1
11001,2011-05-23/2011-05-29,48,81.12,3
11001,2011-05-30/2011-06-05,16,27.04,1
11001,2011-06-13/2011-06-19,35,59.15,4
11001,2011-06-20/2011-06-26,48,81.12,2
11001,2011-06-27/2011-07-03,118,111.69999999999999,3
11001,2011-07-04/2011-07-10,111,92.13,11
11001,2011-07-11/2011-07-17,37,38.449999999999996,7
11001,2011-07-18/2011-07-24,56,60.239999999999995,6
11001,2011-07-25/2011-07-31,16,27.04,1
11001,2011-08-01/2011-08-07,385,490.97,2
11001,2011-08-08/2011-08-14,80,101.6,1
11001,2011-08-15/2011-08-21,2,3.38,1
11001,2011-08-22/2011-08-28,32,54.08,2
11001,2011-08-29/2011-09-04,48,81.12,3
